Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, 7.0882, 14837, 17718, 6.8835, 1452, 1721
2000, 7.6048, 16978, 18911, 7.4098, 1658, 1843
