Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.0876, 63.22, 0.7721, 72.68 
1, 0.4732, 83.72, 0.3325, 87.85 
2, 0.3149, 88.59, 0.2663, 89.79 
3, 0.2598, 90.14, 0.2383, 90.66 
4, 0.2300, 90.95, 0.2199, 91.20 
5, 0.2098, 91.57, 0.2056, 91.67 
6, 0.1944, 92.09, 0.1957, 91.81 
7, 0.1810, 92.55, 0.1872, 92.01 
8, 0.1702, 92.96, 0.1790, 92.40 
9, 0.1609, 93.33, 0.1728, 92.67 
10, 0.1528, 93.69, 0.1689, 92.92 
11, 0.1455, 94.00, 0.1659, 93.00 
12, 0.1392, 94.25, 0.1611, 93.34 
13, 0.1329, 94.54, 0.1593, 93.45 
14, 0.1276, 94.75, 0.1580, 93.53 
15, 0.1226, 94.99, 0.1571, 93.61 
16, 0.1180, 95.21, 0.1551, 93.73 
17, 0.1140, 95.36, 0.1536, 93.84 
18, 0.1102, 95.51, 0.1517, 93.90 
19, 0.1065, 95.66, 0.1510, 94.05 
