Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.6506, 37.92, 1.5878, 41.27 
1, 1.5834, 40.67, 1.5846, 41.27 
2, 1.5763, 40.67, 1.5840, 41.27 
3, 1.5708, 40.67, 1.5828, 41.27 
4, 1.5655, 40.67, 1.5811, 41.27 
5, 1.5601, 40.67, 1.5793, 41.27 
6, 1.5547, 40.67, 1.5774, 41.27 
7, 1.5493, 40.67, 1.5754, 41.27 
8, 1.5437, 40.67, 1.5733, 41.27 
9, 1.5378, 40.67, 1.5710, 41.27 
10, 1.5317, 40.67, 1.5686, 41.27 
11, 1.5253, 40.67, 1.5659, 41.27 
12, 1.5185, 40.67, 1.5631, 41.27 
13, 1.5112, 40.67, 1.5599, 41.27 
14, 1.5035, 40.67, 1.5566, 41.29 
15, 1.4953, 40.67, 1.5529, 41.34 
16, 1.4865, 40.67, 1.5487, 41.38 
17, 1.4770, 40.67, 1.5442, 41.49 
18, 1.4669, 40.67, 1.5392, 41.74 
19, 1.4560, 41.06, 1.5337, 42.24 
20, 1.4444, 41.26, 1.5275, 42.70 
21, 1.4320, 41.85, 1.5208, 43.12 
22, 1.4187, 42.04, 1.5134, 43.70 
23, 1.4044, 44.20, 1.5053, 44.47 
24, 1.3892, 45.78, 1.4964, 45.06 
25, 1.3732, 47.15, 1.4869, 45.72 
26, 1.3560, 48.92, 1.4766, 46.27 
27, 1.3380, 50.88, 1.4656, 46.97 
28, 1.3188, 52.65, 1.4538, 47.90 
29, 1.2988, 53.24, 1.4412, 48.87 
30, 1.2778, 54.62, 1.4295, 48.78 
31, 1.2574, 55.80, 1.4218, 47.66 
32, 1.2448, 55.99, 1.4237, 46.07 
33, 1.2317, 55.80, 1.4116, 46.50 
34, 1.1962, 58.15, 1.3703, 54.31 
35, 1.2389, 53.05, 1.4337, 48.14 
36, 1.2076, 54.03, 1.3406, 57.22 
37, 1.1500, 61.49, 1.3728, 48.14 
38, 1.1623, 57.96, 1.3344, 52.22 
39, 1.0852, 65.62, 1.2970, 59.79 
40, 1.1077, 59.53, 1.3500, 50.56 
41, 1.0996, 59.14, 1.2708, 60.48 
42, 1.0908, 61.49, 1.2792, 57.02 
43, 1.0212, 66.80, 1.2554, 60.23 
44, 0.9934, 68.57, 1.2449, 60.76 
45, 0.9704, 69.55, 1.2310, 61.69 
46, 0.9360, 71.71, 1.2087, 62.38 
47, 0.9860, 65.82, 1.3460, 48.29 
48, 0.9808, 65.03, 1.1883, 63.41 
49, 0.9515, 66.80, 1.2016, 62.38 
50, 0.8902, 72.10, 1.1731, 64.01 
51, 0.8495, 73.67, 1.1610, 64.19 
52, 0.8239, 75.05, 1.1526, 63.96 
53, 0.8027, 75.44, 1.1729, 59.06 
54, 0.9340, 66.80, 1.1949, 56.21 
55, 0.8111, 74.46, 1.1567, 64.60 
56, 0.8350, 69.94, 1.1271, 65.61 
57, 0.7519, 76.82, 1.1159, 64.66 
58, 0.7216, 78.19, 1.1166, 63.55 
59, 0.7074, 77.80, 1.1371, 60.70 
60, 0.7454, 75.25, 1.2018, 55.50 
61, 0.7132, 76.42, 1.1024, 65.66 
62, 0.8060, 68.76, 1.1041, 66.48 
63, 0.6752, 78.00, 1.0836, 65.26 
64, 0.6362, 80.35, 1.0809, 65.52 
65, 0.6270, 80.75, 1.0791, 66.35 
66, 0.6309, 79.37, 1.0751, 66.58 
67, 0.6007, 81.14, 1.1016, 62.43 
68, 0.7164, 72.89, 1.1902, 56.26 
69, 0.6013, 80.55, 1.0720, 66.87 
70, 0.6312, 78.78, 1.0626, 67.04 
71, 0.5595, 82.51, 1.0599, 65.61 
72, 0.5389, 82.32, 1.0901, 63.48 
73, 0.5415, 83.10, 1.0840, 63.92 
74, 0.5288, 83.89, 1.1192, 66.82 
75, 0.6461, 76.62, 1.0468, 66.16 
76, 0.5102, 83.50, 1.0917, 63.44 
77, 0.5083, 84.09, 1.0616, 65.42 
78, 0.4917, 84.87, 1.0940, 67.33 
79, 0.5322, 82.51, 1.0411, 66.52 
80, 0.4687, 84.48, 1.0999, 63.15 
81, 0.4878, 83.89, 1.0643, 65.56 
82, 0.4544, 85.66, 1.0932, 67.59 
83, 0.4922, 83.50, 1.0400, 66.90 
84, 0.4260, 86.64, 1.0786, 64.73 
85, 0.4278, 86.25, 1.0540, 66.44 
86, 0.4128, 87.62, 1.0793, 67.87 
87, 0.4386, 86.05, 1.0435, 66.99 
88, 0.4106, 85.85, 1.1073, 64.12 
89, 0.4014, 89.00, 1.0504, 67.34 
90, 0.3916, 88.61, 1.0729, 67.93 
91, 0.3822, 89.19, 1.0496, 67.31 
92, 0.3783, 88.02, 1.0866, 65.42 
93, 0.3513, 91.16, 1.0561, 68.03 
94, 0.3693, 89.59, 1.0693, 67.61 
95, 0.3252, 91.36, 1.0592, 67.69 
96, 0.3422, 90.37, 1.0656, 67.59 
97, 0.3069, 93.12, 1.0725, 68.57 
98, 0.3673, 89.39, 1.1195, 65.64 
99, 0.3267, 91.36, 1.0901, 66.39 
