Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, 7.6048, 16978, 18911, 7.4098, 1658, 1843
2000, 7.8630, 18221, 19411, 7.6662, 1784, 1893
