Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.7492, 30.06, 1.6701, 41.27 
1, 1.6375, 40.67, 1.6092, 41.27 
2, 1.5984, 40.67, 1.5927, 41.27 
3, 1.5867, 40.67, 1.5880, 41.27 
4, 1.5817, 40.67, 1.5861, 41.27 
5, 1.5785, 40.67, 1.5852, 41.27 
6, 1.5761, 40.67, 1.5846, 41.27 
7, 1.5740, 40.67, 1.5841, 41.27 
8, 1.5721, 40.67, 1.5836, 41.27 
9, 1.5702, 40.67, 1.5831, 41.27 
10, 1.5685, 40.67, 1.5826, 41.27 
11, 1.5667, 40.67, 1.5821, 41.27 
12, 1.5650, 40.67, 1.5816, 41.27 
13, 1.5633, 40.67, 1.5811, 41.27 
14, 1.5616, 40.67, 1.5805, 41.27 
15, 1.5599, 40.67, 1.5799, 41.27 
16, 1.5582, 40.67, 1.5794, 41.27 
17, 1.5565, 40.67, 1.5788, 41.27 
18, 1.5548, 40.67, 1.5782, 41.27 
19, 1.5531, 40.67, 1.5776, 41.27 
20, 1.5513, 40.67, 1.5769, 41.27 
21, 1.5496, 40.67, 1.5763, 41.27 
22, 1.5479, 40.67, 1.5757, 41.27 
23, 1.5461, 40.67, 1.5750, 41.27 
24, 1.5444, 40.67, 1.5744, 41.27 
25, 1.5426, 40.67, 1.5737, 41.27 
26, 1.5408, 40.67, 1.5731, 41.27 
27, 1.5390, 40.67, 1.5724, 41.27 
28, 1.5371, 40.67, 1.5717, 41.27 
29, 1.5352, 40.67, 1.5710, 41.27 
30, 1.5333, 40.67, 1.5703, 41.27 
31, 1.5314, 40.67, 1.5695, 41.27 
32, 1.5295, 40.67, 1.5688, 41.27 
33, 1.5275, 40.67, 1.5680, 41.27 
34, 1.5255, 40.67, 1.5673, 41.27 
35, 1.5235, 40.67, 1.5665, 41.27 
36, 1.5214, 40.67, 1.5657, 41.27 
37, 1.5193, 40.67, 1.5649, 41.27 
38, 1.5171, 40.67, 1.5640, 41.27 
39, 1.5149, 40.67, 1.5631, 41.27 
40, 1.5127, 40.67, 1.5623, 41.27 
41, 1.5104, 40.67, 1.5613, 41.27 
42, 1.5081, 40.67, 1.5604, 41.27 
43, 1.5057, 40.67, 1.5595, 41.27 
44, 1.5034, 40.67, 1.5585, 41.27 
45, 1.5009, 40.67, 1.5575, 41.27 
46, 1.4984, 40.67, 1.5565, 41.27 
47, 1.4959, 40.67, 1.5554, 41.27 
48, 1.4933, 40.67, 1.5544, 41.27 
49, 1.4907, 40.67, 1.5533, 41.32 
50, 1.4880, 40.67, 1.5521, 41.33 
51, 1.4853, 40.67, 1.5509, 41.38 
52, 1.4825, 40.67, 1.5497, 41.47 
53, 1.4797, 40.67, 1.5485, 41.53 
54, 1.4768, 40.67, 1.5473, 41.58 
55, 1.4738, 40.67, 1.5460, 41.59 
56, 1.4708, 40.67, 1.5446, 41.63 
57, 1.4677, 40.67, 1.5433, 41.68 
58, 1.4646, 40.67, 1.5419, 41.80 
59, 1.4614, 41.06, 1.5404, 41.85 
60, 1.4582, 41.06, 1.5389, 41.92 
61, 1.4549, 41.26, 1.5374, 42.02 
62, 1.4515, 41.26, 1.5359, 42.11 
63, 1.4481, 41.45, 1.5343, 42.25 
64, 1.4446, 41.65, 1.5326, 42.40 
65, 1.4410, 41.65, 1.5309, 42.45 
66, 1.4373, 41.65, 1.5292, 42.57 
67, 1.4336, 42.04, 1.5274, 42.78 
68, 1.4298, 42.24, 1.5255, 42.91 
69, 1.4260, 42.83, 1.5236, 42.99 
70, 1.4220, 43.22, 1.5217, 43.07 
71, 1.4180, 43.42, 1.5197, 43.24 
72, 1.4139, 43.81, 1.5177, 43.41 
73, 1.4098, 43.81, 1.5155, 43.56 
74, 1.4055, 44.79, 1.5134, 43.70 
75, 1.4012, 45.38, 1.5112, 43.80 
76, 1.3968, 45.58, 1.5089, 44.04 
77, 1.3924, 45.58, 1.5065, 44.21 
78, 1.3878, 45.78, 1.5041, 44.35 
79, 1.3832, 47.15, 1.5016, 44.48 
80, 1.3785, 47.74, 1.4991, 44.57 
81, 1.3737, 48.13, 1.4965, 44.79 
82, 1.3688, 48.72, 1.4938, 44.92 
83, 1.3639, 48.72, 1.4911, 45.00 
84, 1.3588, 48.92, 1.4883, 45.10 
85, 1.3537, 48.92, 1.4855, 45.28 
86, 1.3485, 48.92, 1.4825, 45.49 
87, 1.3432, 48.92, 1.4796, 45.66 
88, 1.3378, 50.10, 1.4765, 45.91 
89, 1.3323, 50.29, 1.4734, 46.14 
90, 1.3268, 50.69, 1.4702, 46.38 
91, 1.3212, 50.69, 1.4669, 46.60 
92, 1.3155, 51.47, 1.4636, 46.83 
93, 1.3097, 51.87, 1.4603, 47.13 
94, 1.3039, 52.06, 1.4568, 47.34 
95, 1.2979, 52.46, 1.4533, 47.69 
96, 1.2919, 53.44, 1.4498, 47.88 
97, 1.2859, 53.83, 1.4462, 48.19 
98, 1.2797, 54.22, 1.4425, 48.52 
99, 1.2735, 54.42, 1.4388, 48.86 
