Epoch, Average Actor Loss, Critic Loss
0, 0.1776, 2.5382
1, -0.1759, 2.4477
2, 0.1233, 1.8979
3, 0.1466, 4.1192
4, 0.1705, 8.2613
5, 0.1192, 2.8829
6, 0.0978, 3.6412
7, -0.0441, 12.1627
8, -0.1980, 3.5726
9, -0.0491, 2.0325
10, -0.0853, 3.7979
11, -1.4232, 10.9377
12, -0.2342, 7.5022
13, 0.1001, 1.5271
14, 0.5046, 3.9176
15, -0.6529, 10.9410
16, 0.2874, 4.1493
17, 0.1699, 4.2322
18, 0.0434, 2.6759
19, 0.0368, 2.5133
20, 0.2247, 2.3342
21, 0.2063, 3.1233
22, -0.3829, 15.3978
23, 0.5004, 12.9514
24, -0.0508, 7.5607
25, 0.3116, 2.5112
26, 0.1958, 1.7870
27, -0.0301, 2.7586
28, 0.1004, 3.5459
29, 0.3366, 4.1664
30, -0.4812, 11.3273
31, -0.0462, 2.6689
32, 0.1849, 2.3129
33, 0.1981, 3.9094
34, 0.1302, 2.3295
35, -0.1860, 2.5556
36, -0.1363, 3.9460
37, 0.0714, 1.5938
38, -0.6046, 10.8781
39, -0.7896, 9.0209
40, 0.0531, 3.5053
41, 0.0067, 3.1596
42, -0.6259, 12.6741
43, -0.0895, 2.3173
44, 0.1453, 2.5738
45, 0.3921, 9.8984
46, 0.1172, 1.9170
47, 0.2736, 3.7493
48, 0.0143, 10.9963
49, 0.2089, 2.0976
50, -0.1077, 4.0188
51, 0.0966, 4.0937
52, -0.0866, 12.9370
53, 0.1117, 3.1686
54, 0.3360, 1.8336
55, 0.0970, 3.9038
56, 0.3817, 2.5215
57, 0.0440, 2.0265
58, -0.3119, 6.1540
59, -0.4222, 12.3105
60, -0.0392, 2.2898
61, -0.0606, 1.8371
62, 0.1719, 2.7817
63, 0.1531, 1.9013
64, 0.1486, 3.5122
65, 0.3175, 3.7713
66, 0.1782, 1.8946
67, -0.9950, 7.8341
68, -0.0131, 2.5380
69, 0.2425, 3.1868
70, -1.2778, 12.6447
71, 0.2199, 1.3986
72, 0.1310, 4.0058
73, 0.0636, 4.9806
74, -1.4186, 9.3950
75, 0.1710, 5.5239
76, 0.4127, 2.1331
77, 0.1209, 2.1684
78, -0.0256, 8.4532
79, 0.2581, 3.5403
80, -0.4545, 11.6384
81, 0.3327, 2.8677
82, 0.3549, 1.7506
83, 0.2485, 4.4169
84, 0.2865, 1.8165
85, 0.4653, 3.0180
86, 0.0551, 3.4940
87, 0.2100, 2.0223
88, 0.0626, 2.4317
89, 0.4087, 3.0029
90, -0.2371, 4.0774
91, 0.4168, 1.2668
92, 0.2485, 2.7933
93, 0.2073, 2.0339
94, -0.7290, 11.4498
95, -0.4681, 10.8083
96, -0.1274, 8.6120
97, 0.1920, 3.2110
98, 0.1249, 1.2411
99, -0.8645, 7.2107
100, 0.1482, 3.0988
101, -0.0045, 0.8131
102, -0.8481, 6.7162
103, 0.2876, 3.7718
104, 0.2696, 4.6618
105, 0.4099, 1.6968
106, 0.2322, 1.8942
107, 0.1216, 1.3130
108, 0.1488, 2.3214
109, 0.3186, 12.6158
110, -1.1011, 9.5000
111, -0.0279, 1.8550
112, -0.5523, 10.1573
113, -0.3789, 8.5477
114, -0.4798, 7.8922
115, -0.6261, 9.3842
116, 0.2002, 1.2763
117, 1.6164, 17.1844
118, 0.3161, 3.3357
119, 0.2114, 3.0590
120, 0.2391, 2.0173
121, 0.1142, 1.1875
122, -0.2032, 9.3272
123, 0.0999, 2.2616
124, -0.1118, 2.4643
125, -0.0357, 4.1970
126, -0.0163, 2.1481
127, 0.1633, 1.1104
128, 0.1156, 2.5597
129, 0.1092, 2.6557
130, 0.0316, 4.0492
131, 0.1787, 3.2972
132, -0.0937, 3.9166
133, 0.1155, 1.1306
134, -0.9889, 10.8659
135, -0.0331, 1.7406
136, 0.0380, 1.9517
137, 0.1171, 3.0492
138, 0.1536, 2.0577
139, -0.4727, 9.1072
140, -0.0649, 3.0109
141, 0.2388, 4.3679
142, 0.1257, 2.1582
143, -0.5292, 12.8022
144, -0.0964, 2.9798
145, 0.0158, 2.7825
146, 0.1227, 1.8476
147, 0.0730, 2.8729
148, 0.0510, 1.7702
149, -0.1660, 3.0219
150, 0.0305, 4.3033
151, 0.0273, 1.6684
152, 0.1316, 1.0141
153, 0.2142, 4.9151
154, 0.2004, 1.7723
155, -1.2888, 15.9182
156, 0.0156, 4.0729
157, 0.0593, 2.8160
158, 0.1480, 2.2837
159, 0.1544, 5.2808
160, 0.0699, 3.3469
161, 0.1772, 2.3464
162, 0.4461, 2.2049
163, 0.0043, 2.1358
164, 0.0671, 5.7770
165, 0.2174, 2.7105
166, -0.5400, 6.9482
167, -0.0371, 2.5719
168, 0.0477, 2.3936
169, 0.0673, 2.9075
170, -0.1852, 7.1195
171, 0.3879, 2.1194
172, 0.2547, 1.6026
173, 0.0388, 12.8399
174, 0.1008, 2.8181
175, -0.0040, 14.2228
176, 0.0520, 4.5056
177, -0.0043, 2.4588
178, -0.2650, 8.0777
179, -0.3666, 8.2213
180, 0.2416, 6.5979
181, -0.7485, 12.0970
182, 0.2109, 11.4429
183, 0.1845, 1.8714
184, 0.0456, 10.0053
185, -0.9509, 9.3710
186, 0.1389, 1.4702
187, 0.1038, 2.0667
188, 0.1283, 1.4790
189, 0.3807, 3.0904
190, 0.2488, 1.4428
191, 0.1324, 1.3994
192, 0.1059, 2.2875
193, 0.2345, 2.7770
194, 0.2772, 1.4580
195, 0.1486, 1.8504
196, -0.0611, 3.4993
197, 0.1822, 3.6543
198, 0.0774, 1.8290
199, -0.0283, 2.4351
200, 0.1180, 1.1899
201, 0.2933, 5.8847
202, -0.0042, 1.5085
203, -0.6899, 7.4096
204, -0.8783, 8.7654
205, 0.0473, 8.5773
206, 0.2278, 2.5062
207, 0.0575, 1.3129
208, 0.1926, 2.6122
209, 0.4132, 5.5962
210, -0.4664, 11.6842
211, -0.6132, 10.9867
212, 0.0509, 1.7701
213, -0.0907, 2.2860
214, 0.1250, 0.8645
215, 0.0459, 1.5626
216, 0.0019, 1.5375
217, -0.5582, 16.0897
218, -0.5586, 9.0424
219, -0.0459, 5.1071
220, 0.0749, 2.7053
221, 0.3228, 22.4297
222, -0.8390, 12.9628
223, 0.4089, 3.8820
224, 0.2545, 1.4933
225, 0.1221, 1.4868
226, 0.0620, 2.4089
227, 0.4662, 2.6330
228, 0.0327, 2.6771
229, 0.1936, 3.1326
230, 0.1288, 1.4485
231, -0.1831, 5.8140
232, -0.4004, 10.0592
233, -0.0099, 2.4922
234, 0.1513, 9.6935
235, 0.0784, 1.6474
236, -0.4651, 5.8155
237, -1.2077, 8.6223
238, 0.0371, 1.8202
239, -0.1241, 6.9858
240, 0.7060, 9.1105
241, 0.1088, 4.1466
242, 0.4899, 6.2263
243, -0.0580, 1.1268
244, 0.5262, 8.2769
245, 0.8909, 16.5683
246, 0.2058, 6.6487
247, 0.1253, 4.5091
248, -0.0548, 7.1096
249, -1.1397, 11.6419
250, -0.3515, 7.2553
251, -0.2625, 2.7397
252, -0.0342, 1.4440
253, 0.1804, 2.0668
254, 0.1321, 5.4424
255, -0.2633, 2.3453
256, 0.2286, 1.5231
257, 0.0753, 2.1040
258, 0.2408, 3.5727
259, -1.3909, 8.7200
260, -0.0955, 2.5721
261, -0.1899, 9.3837
262, 0.1817, 1.9377
263, 0.0751, 2.0441
264, 0.0812, 3.5649
265, 0.1878, 2.6077
266, -0.0366, 3.9587
267, 0.1772, 2.1487
268, 0.1179, 1.1728
269, -0.0218, 8.3923
270, 0.1040, 2.1322
271, 0.1052, 2.0233
272, 0.1410, 7.4378
273, -0.0476, 9.9298
274, 0.0550, 2.6183
275, 0.0434, 3.3931
276, -0.0292, 2.5105
277, -0.4400, 13.6136
278, 0.0768, 2.6414
279, 0.0962, 1.7933
280, -0.0843, 1.7555
281, 0.1322, 2.5677
282, -1.2721, 6.8936
283, 0.2611, 3.1603
284, 0.1443, 2.5926
285, -0.0458, 2.9626
286, 0.1674, 1.3637
287, -0.4274, 10.8514
288, -0.2852, 6.1204
289, -0.3748, 11.7059
290, 0.1400, 2.2087
291, 0.1490, 2.0836
292, 0.1685, 2.2100
293, 0.1739, 1.6155
294, -0.0469, 3.0022
295, 0.2149, 3.4478
296, 0.0930, 3.5602
297, 0.1884, 3.9044
298, 0.1081, 11.6309
299, 0.1268, 2.8540
300, 0.2402, 3.8620
301, 0.1468, 2.1088
302, -0.0898, 5.6453
303, 0.3910, 6.4142
304, 0.0667, 1.4928
305, -0.1845, 5.8707
306, 0.0861, 1.8235
307, 0.1449, 3.1669
308, 0.1176, 2.4920
309, -0.4391, 10.0249
310, -0.0640, 4.0534
311, -0.9492, 14.4208
312, -0.0636, 2.5568
313, 0.0402, 3.7534
314, 0.1601, 17.4422
315, 0.1589, 3.3820
316, 0.0885, 5.4955
317, 0.1109, 2.8532
318, 0.1605, 10.0816
319, 0.0824, 2.0215
320, -0.3150, 10.9863
321, -0.3013, 5.5325
322, -0.0872, 2.8513
323, 0.1476, 3.7699
324, -0.1622, 2.5248
325, -0.2849, 12.3459
326, 0.0361, 2.4501
327, 0.2217, 8.1218
328, -0.1229, 9.5876
329, 0.0931, 3.4225
330, 0.5315, 12.9930
331, 0.1013, 2.2644
332, 0.0784, 1.9782
333, -0.4956, 8.1038
334, -0.0644, 4.1729
335, 0.0802, 1.2270
336, 0.0348, 2.8257
337, -0.0565, 2.3537
338, 0.0511, 2.8445
339, -0.2193, 2.6977
340, 0.0448, 1.2490
341, 0.0919, 2.3783
342, -0.1934, 5.8952
343, -0.1127, 2.5902
344, 0.1556, 2.0346
345, -1.3354, 9.0910
346, -0.7887, 10.7285
347, -0.1282, 2.7706
348, -0.2053, 8.4878
349, 1.0740, 11.0031
350, 0.2032, 1.8173
351, 0.0882, 3.2157
352, -0.1447, 12.8003
353, 0.3540, 11.6404
354, 0.9876, 12.4865
355, 0.1175, 1.4422
356, 0.1320, 8.0443
357, 0.1134, 2.1688
358, -0.0424, 7.3843
359, -0.0395, 1.2151
360, -0.6580, 7.2158
361, 0.2247, 2.5831
362, -0.5593, 10.8039
363, 0.1178, 1.7279
364, -0.4552, 9.4979
365, -0.0004, 2.7500
366, 0.0363, 2.2017
367, -1.0608, 12.9464
368, 0.3544, 1.6216
369, -0.2525, 2.6269
370, 0.0144, 4.4088
371, -0.0177, 4.0490
372, -0.0800, 3.7509
373, 0.2332, 6.4204
374, 0.0988, 3.2613
375, -0.7310, 10.0947
376, -1.0315, 12.5456
377, 0.3623, 2.9435
378, -0.2225, 8.0200
379, 0.4239, 8.5880
380, 0.1883, 4.0544
381, 0.0721, 1.7745
382, 0.3641, 3.8113
383, 0.2141, 5.6496
384, 0.1595, 1.6002
385, 0.3544, 3.6258
386, 0.5904, 11.8724
387, -0.3150, 8.0437
388, 0.1183, 2.2295
389, 0.2215, 8.0879
390, -0.8026, 7.9924
391, 0.2579, 2.6022
392, 0.0139, 2.1496
393, 0.1211, 2.3698
394, 0.0727, 1.7909
395, 0.2343, 3.1967
396, 0.0626, 3.7231
397, 0.3312, 1.8146
398, -0.1258, 8.8228
399, 0.0338, 1.2644
400, 0.1392, 4.5344
401, 0.2536, 4.7683
402, -0.0328, 1.5552
403, -0.0519, 2.9098
404, -0.8489, 9.8842
405, -0.6054, 9.6675
406, 0.0058, 5.4082
407, -0.0836, 3.2000
408, -0.2006, 4.6336
409, 0.1597, 4.4298
410, 0.1705, 4.9595
411, 0.1446, 3.2237
412, 0.1472, 1.9491
413, 0.4531, 3.8921
414, 0.1303, 2.0347
415, 0.1382, 1.1893
416, 0.0639, 1.1297
417, 0.3272, 4.2484
418, -0.0043, 1.6885
419, 0.1378, 3.7259
420, 0.1730, 2.8591
421, 0.0187, 1.6080
422, 0.2670, 2.2369
423, -0.9937, 7.2624
424, -0.0181, 4.9115
425, -1.5534, 12.0810
426, -0.7334, 12.6255
427, -0.3461, 11.6867
428, -0.0727, 2.6524
429, 0.2437, 1.8473
430, 0.2614, 5.7079
431, 0.1916, 1.7120
432, 0.1097, 14.7137
433, 0.1036, 10.2037
434, -0.0253, 2.8234
435, -0.0114, 2.9411
436, 0.1796, 2.5233
437, 0.1973, 4.1207
438, 0.1199, 1.5424
439, 0.2121, 1.6197
440, 0.0981, 1.7471
441, -0.0229, 2.4639
442, 0.1390, 2.1657
443, 0.2656, 8.0632
444, 0.1835, 2.9117
445, -0.4321, 10.5989
446, 0.2036, 2.3140
447, -0.2969, 9.8550
448, 0.0189, 2.9786
449, -0.1014, 7.7873
450, -0.0857, 3.0652
451, -0.3614, 9.9897
452, -0.9511, 5.8688
453, -0.0805, 1.9659
454, 0.3228, 7.4069
455, -0.5624, 8.7061
456, -0.0440, 5.2217
457, 0.2465, 2.7444
458, 0.1101, 1.3549
459, 0.7658, 10.1585
460, 0.2028, 1.6439
461, 0.0918, 3.3417
462, 0.1548, 1.7568
463, -0.0453, 4.6660
464, 0.1618, 1.7583
465, 0.1641, 0.8798
466, 0.2237, 3.4887
467, -0.1528, 6.0510
468, -1.2795, 12.2033
469, -0.8390, 6.9106
470, -0.0693, 2.9763
471, 0.0727, 3.0379
472, 0.0731, 2.5020
473, 0.1809, 2.5196
474, 0.0056, 2.3961
475, 0.4302, 9.8979
476, 0.0770, 5.3805
477, -0.2234, 13.2923
478, 0.1731, 7.8131
479, 0.3851, 12.4848
480, 0.0720, 0.8210
481, 0.0632, 1.4079
482, -0.4799, 5.4271
483, 0.0987, 11.3956
484, -0.5423, 12.5246
485, -1.4337, 6.8355
486, 0.0173, 0.8112
487, -0.0197, 3.6181
488, 0.2040, 9.6843
