Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, -0.1670, 1, 1, -0.1704, 0, 0
200, 0.0533, 0, 0, 0.0504, 0, 0
400, 0.0533, 0, 0, 0.0504, 0, 0
600, 0.0533, 0, 0, 0.0504, 0, 0
800, 0.0533, 0, 0, 0.0504, 0, 0
1000, 0.0533, 0, 0, 0.0504, 0, 0
1200, 0.0533, 0, 0, 0.0504, 0, 0
1400, 0.0533, 0, 0, 0.0504, 0, 0
1600, 0.0533, 0, 0, 0.0504, 0, 0
1800, 0.0533, 0, 0, 0.0504, 0, 0
2000, 0.0533, 0, 0, 0.0504, 0, 0
