Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.7367, 34.48, 1.6710, 41.27 
1, 1.6433, 40.23, 1.6294, 41.27 
2, 1.6098, 40.23, 1.6179, 41.27 
3, 1.5984, 40.23, 1.6151, 41.27 
4, 1.5934, 40.23, 1.6135, 41.27 
5, 1.5896, 40.23, 1.6126, 41.27 
6, 1.5865, 40.23, 1.6117, 41.24 
7, 1.5834, 40.23, 1.6103, 41.14 
8, 1.5802, 40.61, 1.6093, 41.10 
9, 1.5770, 41.00, 1.6087, 41.00 
10, 1.5743, 41.00, 1.6076, 40.90 
11, 1.5711, 41.00, 1.6064, 40.81 
12, 1.5681, 40.61, 1.6055, 40.76 
13, 1.5650, 40.23, 1.6048, 40.67 
14, 1.5621, 40.23, 1.6044, 40.66 
15, 1.5592, 40.23, 1.6038, 40.62 
16, 1.5563, 40.23, 1.6034, 40.59 
17, 1.5533, 40.23, 1.6027, 40.57 
18, 1.5503, 40.23, 1.6028, 40.57 
19, 1.5475, 40.61, 1.6021, 40.61 
20, 1.5445, 40.61, 1.6025, 40.62 
21, 1.5417, 40.61, 1.6020, 40.67 
22, 1.5387, 40.61, 1.6017, 40.74 
23, 1.5357, 40.61, 1.6019, 40.74 
24, 1.5328, 40.61, 1.6023, 40.80 
25, 1.5298, 41.00, 1.6016, 40.99 
26, 1.5266, 41.00, 1.6021, 41.01 
27, 1.5236, 41.38, 1.6017, 41.28 
28, 1.5203, 41.38, 1.6020, 41.26 
29, 1.5172, 41.38, 1.6018, 41.42 
30, 1.5140, 41.38, 1.6014, 41.59 
31, 1.5106, 41.76, 1.6017, 41.67 
32, 1.5073, 42.15, 1.6014, 41.74 
33, 1.5039, 42.15, 1.6009, 41.83 
34, 1.5002, 42.15, 1.6008, 41.96 
35, 1.4967, 41.76, 1.6008, 42.00 
36, 1.4931, 42.53, 1.6001, 42.09 
37, 1.4892, 42.15, 1.5992, 42.16 
38, 1.4854, 42.15, 1.5998, 42.18 
39, 1.4817, 42.91, 1.5986, 42.33 
40, 1.4776, 42.91, 1.5983, 42.38 
41, 1.4736, 42.91, 1.5978, 42.54 
42, 1.4695, 43.68, 1.5966, 42.59 
43, 1.4652, 43.68, 1.5966, 42.65 
44, 1.4611, 44.06, 1.5954, 42.72 
45, 1.4566, 44.44, 1.5947, 42.78 
46, 1.4522, 44.44, 1.5936, 42.88 
47, 1.4476, 45.59, 1.5935, 42.77 
48, 1.4431, 45.59, 1.5921, 42.84 
49, 1.4384, 45.98, 1.5911, 42.92 
50, 1.4335, 45.98, 1.5901, 42.93 
51, 1.4287, 46.36, 1.5889, 42.94 
52, 1.4238, 46.74, 1.5881, 42.92 
53, 1.4187, 47.13, 1.5863, 43.02 
54, 1.4136, 47.51, 1.5856, 42.99 
55, 1.4085, 47.51, 1.5844, 42.93 
56, 1.4033, 47.51, 1.5831, 42.98 
