Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
57, 1.3980, 47.51, 1.5821, 42.93 
58, 1.3926, 47.89, 1.5802, 43.03 
59, 1.3872, 48.28, 1.5788, 42.98 
60, 1.3817, 48.28, 1.5777, 43.04 
61, 1.3761, 48.66, 1.5764, 43.03 
62, 1.3705, 48.66, 1.5756, 43.06 
63, 1.3648, 49.04, 1.5733, 43.17 
64, 1.3589, 50.19, 1.5715, 43.22 
65, 1.3530, 50.19, 1.5711, 43.14 
66, 1.3472, 50.96, 1.5686, 43.15 
67, 1.3410, 51.34, 1.5676, 43.16 
68, 1.3350, 50.96, 1.5664, 43.17 
69, 1.3289, 50.96, 1.5645, 43.22 
70, 1.3227, 50.96, 1.5629, 43.31 
71, 1.3164, 51.72, 1.5614, 43.30 
72, 1.3101, 51.34, 1.5590, 43.37 
73, 1.3035, 51.34, 1.5589, 43.26 
74, 1.2973, 50.96, 1.5558, 43.46 
75, 1.2905, 50.96, 1.5545, 43.56 
76, 1.2839, 50.96, 1.5521, 43.64 
77, 1.2771, 50.96, 1.5518, 43.69 
78, 1.2707, 50.96, 1.5484, 43.85 
79, 1.2636, 51.72, 1.5476, 43.93 
80, 1.2570, 52.11, 1.5456, 44.04 
81, 1.2500, 52.87, 1.5438, 44.12 
82, 1.2431, 53.26, 1.5416, 44.26 
83, 1.2359, 54.02, 1.5399, 44.61 
84, 1.2291, 54.79, 1.5384, 44.67 
85, 1.2221, 55.17, 1.5365, 44.73 
86, 1.2147, 55.94, 1.5351, 44.98 
87, 1.2075, 56.70, 1.5334, 44.91 
88, 1.2005, 57.09, 1.5302, 45.35 
89, 1.1929, 57.47, 1.5292, 45.29 
90, 1.1857, 57.47, 1.5273, 45.48 
91, 1.1784, 57.85, 1.5250, 45.68 
92, 1.1708, 58.24, 1.5232, 45.87 
93, 1.1635, 57.85, 1.5222, 45.89 
94, 1.1563, 58.62, 1.5185, 46.40 
95, 1.1483, 58.62, 1.5178, 46.41 
96, 1.1412, 58.62, 1.5152, 46.65 
97, 1.1334, 58.62, 1.5141, 46.69 
98, 1.1260, 58.62, 1.5110, 46.98 
99, 1.1183, 58.62, 1.5114, 46.98 
100, 1.1112, 59.39, 1.5061, 47.47 
101, 1.1030, 60.54, 1.5077, 47.23 
102, 1.0957, 60.15, 1.5024, 47.71 
103, 1.0878, 61.30, 1.5027, 47.76 
104, 1.0805, 62.07, 1.4995, 47.97 
105, 1.0729, 62.07, 1.4989, 48.06 
106, 1.0655, 62.84, 1.4960, 48.33 
107, 1.0577, 63.22, 1.4941, 48.53 
108, 1.0500, 62.84, 1.4920, 48.60 
109, 1.0425, 63.22, 1.4924, 48.60 
110, 1.0353, 65.13, 1.4886, 48.86 
111, 1.0274, 66.28, 1.4867, 49.20 
112, 1.0198, 67.43, 1.4851, 49.31 
113, 1.0123, 68.20, 1.4840, 49.39 
114, 1.0051, 68.97, 1.4822, 49.52 
115, 0.9978, 69.35, 1.4812, 49.72 
116, 0.9904, 69.73, 1.4795, 49.73 
117, 0.9830, 70.11, 1.4763, 50.15 
118, 0.9758, 70.11, 1.4772, 50.08 
119, 0.9685, 70.50, 1.4732, 50.48 
120, 0.9611, 70.50, 1.4731, 50.45 
121, 0.9536, 70.88, 1.4711, 50.52 
122, 0.9462, 70.50, 1.4699, 50.73 
123, 0.9392, 70.88, 1.4686, 50.82 
124, 0.9320, 71.26, 1.4669, 50.89 
125, 0.9249, 71.65, 1.4663, 51.03 
126, 0.9174, 71.65, 1.4640, 51.16 
127, 0.9106, 72.03, 1.4637, 51.14 
128, 0.9030, 72.41, 1.4601, 51.52 
129, 0.8965, 72.80, 1.4614, 51.42 
130, 0.8888, 72.41, 1.4577, 51.83 
131, 0.8828, 72.41, 1.4588, 51.60 
132, 0.8768, 72.80, 1.4581, 51.64 
133, 0.8713, 72.80, 1.4616, 51.50 
134, 0.8668, 73.18, 1.4606, 51.84 
135, 0.8573, 72.80, 1.4611, 51.73 
136, 0.8481, 72.80, 1.4537, 52.18 
137, 0.8461, 72.80, 1.4545, 51.98 
138, 0.8632, 72.03, 1.4657, 50.68 
139, 0.8899, 68.58, 1.4716, 50.02 
140, 0.8650, 69.35, 1.4509, 51.24 
141, 0.8239, 75.86, 1.4404, 52.67 
142, 0.8472, 69.73, 1.4624, 51.75 
143, 0.8751, 67.05, 1.4798, 51.16 
144, 0.8440, 69.35, 1.4700, 51.71 
145, 0.8064, 73.18, 1.4554, 52.78 
146, 0.7854, 75.10, 1.4454, 53.01 
147, 0.7906, 75.10, 1.4523, 52.00 
148, 0.8303, 69.73, 1.4719, 50.26 
149, 0.8375, 69.73, 1.4581, 50.94 
150, 0.7793, 75.48, 1.4322, 53.15 
151, 0.7747, 74.71, 1.4511, 53.10 
152, 0.8217, 69.73, 1.4739, 52.24 
153, 0.7971, 70.50, 1.4647, 52.77 
154, 0.7524, 75.48, 1.4495, 53.43 
155, 0.7298, 77.39, 1.4411, 53.64 
156, 0.7397, 78.54, 1.4511, 52.20 
157, 0.7795, 72.41, 1.4698, 50.80 
158, 0.7709, 72.41, 1.4481, 52.23 
159, 0.7162, 78.54, 1.4315, 53.89 
160, 0.7449, 73.56, 1.4612, 53.45 
161, 0.7716, 71.26, 1.4719, 53.00 
162, 0.7305, 73.56, 1.4558, 53.60 
163, 0.6885, 79.69, 1.4413, 54.08 
164, 0.6833, 80.46, 1.4461, 53.04 
165, 0.7223, 74.71, 1.4725, 51.13 
166, 0.7444, 72.03, 1.4606, 51.76 
167, 0.6800, 79.69, 1.4312, 54.05 
168, 0.6882, 77.78, 1.4597, 54.13 
169, 0.7395, 73.18, 1.4743, 53.52 
170, 0.6929, 76.25, 1.4563, 54.27 
171, 0.6460, 81.61, 1.4433, 54.47 
172, 0.6398, 80.84, 1.4485, 53.33 
173, 0.6716, 76.63, 1.4731, 51.67 
174, 0.6890, 73.95, 1.4620, 52.28 
175, 0.6328, 80.84, 1.4364, 54.51 
176, 0.6536, 77.01, 1.4692, 54.39 
177, 0.7003, 74.33, 1.4781, 53.90 
178, 0.6421, 79.31, 1.4560, 54.90 
179, 0.6008, 82.38, 1.4477, 54.29 
180, 0.6090, 81.61, 1.4626, 53.26 
181, 0.6431, 77.39, 1.4808, 51.86 
182, 0.6280, 78.54, 1.4524, 53.49 
183, 0.5866, 81.61, 1.4534, 54.99 
184, 0.6501, 75.86, 1.4870, 54.38 
185, 0.6405, 78.16, 1.4739, 54.80 
186, 0.5787, 83.14, 1.4551, 54.74 
187, 0.5652, 81.61, 1.4612, 53.79 
188, 0.5968, 78.93, 1.4880, 52.19 
189, 0.6131, 79.69, 1.4770, 52.63 
190, 0.5587, 82.38, 1.4516, 54.90 
191, 0.5908, 78.93, 1.4887, 54.93 
192, 0.6290, 77.39, 1.4905, 54.93 
193, 0.5616, 83.52, 1.4655, 55.19 
194, 0.5313, 83.52, 1.4661, 54.28 
195, 0.5534, 82.38, 1.4863, 53.02 
196, 0.5694, 80.08, 1.4818, 53.06 
197, 0.5272, 83.14, 1.4605, 54.95 
198, 0.5412, 83.52, 1.4911, 55.35 
199, 0.5844, 79.69, 1.5005, 55.19 
