Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.2366, 56.67, 1.6097, 48.27 
1, 0.7478, 75.69, 0.5697, 79.82 
2, 0.5690, 81.10, 0.4976, 83.45 
3, 0.4803, 83.41, 0.4664, 84.77 
4, 0.4226, 84.94, 0.3353, 86.68 
5, 0.3682, 86.63, 0.3331, 87.54 
6, 0.3275, 88.07, 0.2927, 88.58 
7, 0.2965, 89.17, 0.2719, 89.54 
8, 0.2892, 89.48, 0.2827, 89.07 
9, 0.2443, 90.93, 0.2731, 89.50 
10, 0.2909, 90.07, 0.2716, 89.49 
11, 0.2159, 91.99, 0.2700, 89.75 
12, 0.1875, 92.95, 0.2624, 89.99 
13, 0.2010, 92.59, 0.2450, 90.52 
14, 0.1846, 93.53, 0.2657, 90.10 
15, 0.1323, 94.94, 0.2606, 90.47 
16, 0.1275, 95.21, 0.2620, 90.71 
17, 0.1621, 94.26, 0.2630, 90.46 
18, 0.1265, 95.60, 0.3008, 89.83 
19, 0.1514, 95.24, 0.2854, 90.11 
20, 0.0940, 96.51, 0.2826, 90.64 
21, 0.2650, 92.10, 0.2724, 90.56 
22, 0.1416, 95.26, 0.2699, 90.75 
23, 0.1489, 95.48, 0.4687, 85.50 
24, 0.1127, 96.12, 0.2687, 91.02 
25, 0.0626, 97.76, 0.2884, 90.95 
26, 0.1537, 95.16, 0.3008, 90.42 
27, 0.0637, 97.81, 0.2667, 91.55 
28, 0.0490, 98.36, 0.3068, 91.10 
29, 0.0403, 98.69, 0.3322, 90.85 
30, 0.0330, 99.02, 0.2988, 91.63 
31, 0.1040, 97.02, 0.3207, 90.90 
32, 0.0326, 99.05, 0.3322, 91.00 
33, 0.0264, 99.22, 0.3145, 91.76 
34, 0.0246, 99.37, 0.3321, 91.54 
35, 0.0251, 99.29, 0.3639, 90.87 
36, 0.0259, 99.24, 0.3255, 91.76 
37, 0.0150, 99.67, 0.3550, 91.54 
38, 0.0131, 99.72, 0.3382, 92.06 
39, 0.0089, 99.84, 0.3978, 90.83 
40, 0.0075, 99.90, 0.3473, 91.92 
41, 0.3585, 91.04, 0.3290, 90.89 
42, 0.0826, 97.18, 0.3272, 91.12 
43, 0.0351, 98.91, 0.3227, 91.62 
44, 0.0205, 99.49, 0.3393, 91.68 
45, 0.0214, 99.45, 0.3326, 91.79 
46, 0.0112, 99.84, 0.3273, 92.29 
47, 0.0080, 99.93, 0.3509, 91.98 
48, 0.1174, 97.02, 0.3709, 90.39 
49, 0.0396, 98.71, 0.3470, 91.46 
