Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.6578, 32.95, 1.9310, 12.51 
1, 1.6617, 33.33, 1.6862, 22.67 
2, 1.5949, 37.16, 1.6800, 27.14 
3, 1.5805, 37.16, 1.6594, 32.56 
4, 1.5636, 39.46, 1.6515, 34.22 
5, 1.5455, 40.23, 1.6292, 38.15 
6, 1.5233, 40.61, 1.6342, 37.09 
7, 1.5045, 41.00, 1.6244, 37.72 
8, 1.4798, 41.76, 1.6223, 38.51 
9, 1.4536, 42.91, 1.6205, 35.90 
10, 1.4299, 42.91, 1.5913, 42.56 
11, 1.4093, 47.51, 3.0356, 12.65 
12, 1.7347, 34.48, 1.6025, 41.07 
13, 1.4253, 42.15, 1.5855, 43.07 
14, 1.4207, 42.15, 1.6526, 41.25 
15, 1.4061, 43.68, 1.5488, 44.32 
16, 1.3396, 49.43, 1.6613, 42.16 
17, 1.3447, 49.81, 1.5001, 49.17 
18, 1.2612, 54.02, 1.9278, 35.71 
19, 1.3172, 50.57, 1.6280, 44.98 
20, 1.3261, 48.66, 1.8043, 30.92 
21, 1.2967, 49.81, 1.4869, 48.13 
22, 1.1750, 59.77, 1.6375, 45.37 
23, 1.2295, 54.79, 1.4071, 53.55 
24, 1.0822, 64.37, 1.5868, 46.85 
25, 1.0618, 61.69, 1.3866, 52.62 
26, 1.0392, 63.60, 1.6368, 46.89 
27, 1.1335, 54.02, 1.4848, 47.15 
28, 1.0760, 60.15, 2.7867, 30.47 
29, 1.3349, 50.19, 1.6251, 42.95 
30, 1.2345, 53.64, 1.6972, 28.93 
31, 1.1824, 50.19, 1.6876, 41.93 
32, 1.0832, 59.77, 1.3731, 55.44 
33, 0.9711, 63.60, 1.3580, 52.24 
34, 0.8698, 70.11, 1.6031, 54.57 
35, 0.8805, 70.11, 1.5114, 45.65 
36, 0.8186, 72.03, 1.7524, 44.76 
37, 1.2730, 53.64, 1.6316, 36.36 
38, 0.8864, 69.73, 1.3713, 54.76 
39, 0.8025, 68.97, 1.3524, 57.46 
40, 0.8243, 66.67, 1.2892, 58.62 
41, 0.7157, 75.48, 1.7149, 51.76 
42, 0.7999, 70.11, 2.3232, 31.79 
43, 1.2409, 56.70, 1.7461, 47.02 
44, 0.9078, 68.58, 1.3617, 57.61 
45, 0.7039, 76.25, 2.5207, 34.44 
46, 0.9666, 63.60, 1.5943, 48.97 
47, 0.8408, 66.67, 2.1399, 31.32 
48, 0.8471, 68.58, 1.4666, 52.97 
49, 0.6607, 77.39, 1.2844, 60.88 
50, 0.8078, 68.20, 1.2672, 61.20 
51, 0.5515, 81.99, 1.2961, 61.05 
52, 0.4769, 83.52, 1.2740, 62.57 
53, 0.4564, 85.44, 1.3309, 60.67 
54, 0.6273, 78.93, 1.3082, 60.31 
55, 0.4879, 81.23, 1.2946, 62.76 
56, 0.5095, 80.46, 1.3870, 58.97 
57, 0.4768, 81.61, 1.4159, 57.89 
