Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
58, 0.4030, 86.97, 1.4958, 61.26 
59, 0.6760, 69.73, 1.4952, 57.38 
60, 0.5460, 81.23, 1.3521, 59.61 
61, 0.4120, 85.82, 1.3504, 61.86 
62, 0.3636, 89.27, 1.3710, 63.30 
63, 0.4972, 82.38, 1.4050, 63.32 
64, 0.4091, 84.29, 1.3484, 62.73 
65, 0.3641, 87.74, 1.3548, 62.70 
66, 0.2798, 93.87, 1.4078, 63.24 
67, 0.2959, 91.57, 1.4847, 62.72 
68, 0.3627, 88.12, 1.3890, 62.39 
69, 0.3402, 89.66, 1.4591, 61.73 
70, 0.4255, 86.21, 1.4894, 63.61 
71, 0.3164, 90.04, 1.4476, 63.01 
72, 0.2878, 91.57, 1.4404, 59.44 
73, 0.5439, 79.69, 1.5657, 59.89 
74, 0.3841, 89.66, 1.4216, 63.78 
75, 0.2828, 93.49, 1.4609, 63.27 
76, 0.2542, 93.10, 1.4779, 63.36 
77, 0.2141, 95.79, 1.5879, 61.75 
78, 0.3836, 86.21, 1.4569, 60.93 
79, 0.3482, 86.97, 1.4474, 64.38 
80, 0.2832, 89.66, 1.5834, 63.77 
81, 0.2165, 94.64, 1.5279, 62.57 
82, 0.2015, 95.40, 1.5056, 62.94 
83, 0.1813, 96.55, 1.6013, 64.07 
84, 0.3645, 88.12, 1.6695, 61.75 
85, 0.3416, 86.21, 1.5205, 60.44 
86, 0.4736, 82.76, 1.4783, 63.25 
87, 0.2484, 93.49, 1.5994, 63.26 
88, 0.2316, 93.10, 1.5373, 62.81 
89, 0.1542, 98.08, 1.5785, 63.88 
90, 0.1843, 96.17, 1.6026, 64.21 
91, 0.1467, 97.32, 1.6349, 63.44 
92, 0.1984, 93.87, 1.6888, 61.51 
93, 0.2034, 93.87, 1.6300, 63.83 
94, 0.1914, 95.02, 1.6530, 63.75 
95, 0.2233, 91.95, 1.7079, 63.83 
96, 0.1420, 97.70, 1.6968, 63.31 
97, 0.2222, 93.10, 1.6677, 62.57 
98, 0.1564, 96.93, 1.7404, 63.94 
99, 0.1397, 96.17, 1.7676, 63.49 
100, 0.1124, 99.62, 1.7110, 63.16 
101, 0.1077, 98.85, 1.7139, 63.97 
102, 0.1655, 95.79, 1.7534, 64.43 
103, 0.1453, 94.25, 1.8143, 63.06 
104, 0.3655, 86.59, 2.2844, 52.24 
105, 1.1677, 64.37, 1.7064, 51.38 
106, 0.6733, 70.11, 3.8592, 35.70 
107, 1.1273, 67.82, 1.5909, 52.92 
108, 0.6202, 77.78, 1.5117, 51.66 
109, 0.6066, 77.01, 1.7167, 58.54 
110, 0.3507, 87.74, 1.4049, 64.30 
111, 0.2859, 91.19, 1.5327, 63.62 
112, 0.2080, 95.79, 1.5487, 64.12 
113, 0.1925, 95.79, 1.5747, 64.77 
114, 0.1366, 97.70, 1.5900, 64.44 
115, 0.1544, 95.79, 1.6249, 64.48 
116, 0.1242, 98.08, 1.6648, 64.45 
117, 0.2921, 88.51, 1.7154, 64.00 
118, 0.1869, 93.49, 1.5951, 64.80 
119, 0.1209, 98.47, 1.6543, 64.55 
120, 0.0893, 98.85, 1.7075, 64.31 
121, 0.0787, 99.62, 1.7235, 64.12 
122, 0.0722, 100.00, 1.7418, 64.09 
123, 0.0677, 99.62, 1.7655, 64.22 
124, 0.0656, 99.62, 1.7808, 64.24 
125, 0.0645, 99.62, 1.8034, 63.86 
126, 0.0659, 99.62, 1.8246, 64.21 
127, 0.0739, 98.47, 1.8593, 64.31 
128, 0.2476, 90.42, 1.9259, 64.34 
129, 0.1661, 94.25, 1.8111, 63.94 
130, 0.1718, 92.72, 1.7278, 64.02 
131, 0.0998, 96.93, 1.8932, 63.04 
132, 0.1440, 95.40, 1.8507, 63.63 
133, 0.0953, 98.08, 1.8686, 63.53 
134, 0.0668, 99.23, 1.8931, 63.82 
135, 0.0518, 100.00, 1.8940, 64.13 
136, 0.0469, 100.00, 1.9152, 64.27 
137, 0.0437, 100.00, 1.9353, 64.20 
138, 0.0417, 100.00, 1.9452, 64.13 
139, 0.0395, 100.00, 1.9604, 64.17 
140, 0.0377, 100.00, 1.9711, 64.21 
141, 0.0361, 100.00, 1.9823, 64.07 
142, 0.0349, 100.00, 1.9911, 64.13 
143, 0.0340, 100.00, 2.0025, 64.10 
144, 0.0326, 100.00, 2.0124, 63.95 
145, 0.0316, 100.00, 2.0203, 64.07 
146, 0.0311, 100.00, 2.0264, 64.05 
147, 0.0301, 100.00, 2.0396, 63.95 
148, 0.0293, 100.00, 2.0508, 64.05 
149, 0.0290, 100.00, 2.0510, 64.11 
150, 0.0282, 100.00, 2.0670, 63.94 
151, 0.0274, 100.00, 2.0761, 63.98 
152, 0.0274, 100.00, 2.0722, 64.09 
153, 0.0264, 100.00, 2.0881, 63.92 
154, 0.0255, 100.00, 2.1010, 63.95 
155, 0.0258, 100.00, 2.0944, 64.03 
156, 0.0248, 100.00, 2.1071, 63.78 
157, 0.0240, 100.00, 2.1242, 63.92 
158, 0.0241, 100.00, 2.1133, 64.01 
159, 0.0232, 100.00, 2.1309, 63.67 
160, 0.0223, 100.00, 2.1410, 63.88 
161, 0.0223, 100.00, 2.1328, 63.94 
162, 0.0216, 100.00, 2.1493, 63.71 
163, 0.0204, 100.00, 2.1550, 63.95 
164, 0.0202, 100.00, 2.1506, 63.84 
165, 0.0198, 100.00, 2.1696, 63.83 
166, 0.0189, 100.00, 2.1673, 63.95 
167, 0.0185, 100.00, 2.1707, 63.82 
168, 0.0181, 100.00, 2.1872, 63.82 
169, 0.0176, 100.00, 2.1808, 63.86 
170, 0.0172, 100.00, 2.1932, 63.83 
171, 0.0168, 100.00, 2.2016, 63.83 
172, 0.0165, 100.00, 2.2003, 63.80 
173, 0.0161, 100.00, 2.2087, 63.81 
174, 0.0158, 100.00, 2.2142, 63.83 
175, 0.0156, 100.00, 2.2170, 63.77 
176, 0.0153, 100.00, 2.2254, 63.78 
177, 0.0150, 100.00, 2.2271, 63.78 
178, 0.0148, 100.00, 2.2339, 63.76 
179, 0.0145, 100.00, 2.2383, 63.81 
180, 0.0143, 100.00, 2.2422, 63.78 
181, 0.0140, 100.00, 2.2455, 63.75 
182, 0.0138, 100.00, 2.2517, 63.74 
183, 0.0136, 100.00, 2.2567, 63.71 
184, 0.0134, 100.00, 2.2605, 63.73 
185, 0.0132, 100.00, 2.2645, 63.74 
186, 0.0130, 100.00, 2.2709, 63.67 
187, 0.0128, 100.00, 2.2734, 63.65 
188, 0.0126, 100.00, 2.2790, 63.65 
189, 0.0124, 100.00, 2.2837, 63.68 
190, 0.0122, 100.00, 2.2867, 63.68 
191, 0.0120, 100.00, 2.2907, 63.67 
192, 0.0119, 100.00, 2.2958, 63.65 
193, 0.0117, 100.00, 2.2982, 63.67 
194, 0.0115, 100.00, 2.3037, 63.67 
195, 0.0114, 100.00, 2.3084, 63.63 
196, 0.0112, 100.00, 2.3115, 63.66 
197, 0.0111, 100.00, 2.3156, 63.66 
198, 0.0109, 100.00, 2.3201, 63.66 
199, 0.0108, 100.00, 2.3237, 63.68 
