Epoch, Average Actor Loss, Critic Loss
0, 0.2840, 2.7296
1, 0.0199, 3.3871
2, -0.0195, 0.8775
3, 0.2650, 5.4599
4, 0.1587, 5.2754
5, 0.1599, 2.0615
6, 0.2084, 1.2687
7, 0.2245, 1.7532
8, -0.0141, 5.8898
9, 0.1022, 1.0698
10, 0.1968, 10.2575
11, -0.6903, 5.0241
12, -0.1739, 4.2528
13, 0.1729, 1.3200
14, 0.2207, 2.5678
15, 0.0363, 2.4443
16, 0.2210, 2.3332
17, 0.1553, 2.9212
18, 0.1021, 1.3224
19, -0.0419, 1.4133
20, -0.0107, 2.6854
21, 0.1216, 1.6046
22, 0.3601, 2.7779
23, 0.8253, 13.7927
24, 0.1075, 6.0335
25, -0.3612, 4.2979
26, 0.2538, 0.9437
27, 0.1568, 0.9564
28, 0.1710, 1.5083
29, 0.1530, 10.0111
30, 0.2661, 1.9135
31, -0.1596, 8.6777
32, 0.1542, 0.5538
33, 0.1431, 1.3014
34, 0.3205, 1.4874
35, 0.1439, 1.0425
36, 0.1297, 1.1838
37, 0.1591, 0.7244
38, 0.0289, 8.7297
39, -0.7945, 7.7680
40, 0.1345, 1.3754
41, 0.0549, 1.7405
42, -0.3021, 7.7643
43, 0.1014, 1.2097
44, 0.1403, 0.8960
45, 0.2818, 7.2521
46, 0.2576, 1.7626
47, 0.1396, 1.6749
48, -0.4713, 4.0921
49, 0.0886, 1.4802
50, -0.0405, 4.2676
51, 0.1715, 2.6581
52, -0.1557, 6.6720
53, 0.0376, 0.8665
54, 0.1676, 1.7345
55, 0.1097, 1.7675
56, 0.1487, 1.5532
57, 0.0006, 1.6231
58, 0.0217, 0.4352
59, -0.3534, 9.2569
60, 0.2522, 3.6056
61, -0.3143, 6.5177
62, 0.1184, 2.0124
63, 0.6985, 9.4038
64, 0.8281, 10.3174
65, 0.1987, 1.2459
66, 0.1528, 3.2659
67, 0.1756, 4.1370
68, 0.2526, 3.8801
69, 0.3796, 3.9821
70, -0.5384, 7.6097
71, 0.1381, 1.5358
72, 0.2023, 2.9658
73, -0.0521, 1.9412
74, -0.8515, 6.0195
75, -0.2424, 7.4300
76, 0.5556, 2.9457
77, 0.1185, 5.0881
78, -0.0456, 7.1260
79, 0.0124, 2.1255
80, -0.4233, 6.9509
81, 0.3290, 3.1175
82, 0.1785, 0.9965
83, 0.0685, 0.8989
84, 0.1886, 1.1404
85, -0.0163, 7.1018
86, 0.0311, 6.7934
87, 0.2353, 1.2309
88, 0.1065, 2.5338
89, 0.1935, 4.3941
90, -0.1222, 2.2089
91, 0.1704, 2.2321
92, 0.0265, 1.2478
93, 0.0433, 2.4058
94, 0.7850, 12.6040
95, 0.0400, 7.0442
96, 0.1832, 2.7787
97, -0.1058, 7.1069
98, 0.1400, 1.0248
99, -0.0411, 1.1924
100, 0.1446, 0.9045
101, -0.0679, 0.6919
102, 0.0628, 1.9192
103, 0.0578, 2.1009
104, 0.1586, 1.0441
105, 0.2228, 0.9840
106, 0.0265, 7.9599
107, 0.0189, 0.4469
108, 0.1045, 0.6022
109, 0.1282, 9.7150
110, -0.1063, 8.0270
111, 0.0992, 0.8863
112, -0.0597, 2.5436
113, 0.0988, 4.6566
114, -0.0012, 1.2338
115, -0.5729, 6.1978
116, 0.1914, 1.1826
117, 0.4182, 5.0355
118, 0.2249, 1.0097
119, 0.0441, 9.7944
120, 0.2341, 0.9137
121, -0.0351, 0.8119
122, 0.1083, 2.0209
123, 0.1347, 0.8468
124, -0.0495, 1.9011
125, 0.1393, 1.9473
126, 0.2350, 2.6824
127, 0.1201, 0.6211
128, 0.1441, 0.7205
129, 0.0549, 2.1632
130, -0.4221, 5.9081
131, 0.1699, 2.0628
132, -0.1163, 1.2302
133, 0.0036, 1.2071
134, 0.2209, 2.2903
135, 0.0880, 0.7402
136, 0.0243, 0.7600
137, 0.2075, 1.2113
138, 0.2088, 0.8685
139, -0.5580, 11.5347
140, 0.1370, 1.0926
141, 0.2089, 5.4379
142, 0.1911, 1.4208
143, 0.1414, 7.0060
144, -0.0870, 1.7198
145, 0.1120, 0.6243
146, 0.0511, 1.9492
147, 0.0473, 5.8220
148, 0.0808, 0.6965
149, 0.0873, 2.2429
150, 0.0387, 9.7429
151, -0.0232, 0.9100
152, 0.1501, 1.1326
153, 0.1475, 2.2529
154, 0.1837, 0.7681
155, -0.1312, 12.4428
156, 0.1191, 1.1888
157, 0.0732, 1.0004
158, 0.0897, 1.2729
159, -0.0155, 1.5069
160, 0.1558, 1.4157
161, 0.0470, 0.6754
162, 0.2121, 1.6937
163, 0.0846, 1.2814
164, 0.0103, 0.9424
165, 0.1712, 0.7036
166, 0.1190, 2.0185
167, 0.0425, 1.8048
168, 0.0600, 1.4476
169, -0.0232, 12.1803
170, 0.0556, 2.4683
171, 0.2373, 4.8522
172, 0.0754, 0.7832
173, 0.0316, 2.5251
174, -0.0973, 2.6782
175, -0.0524, 1.7277
176, 0.0533, 1.4975
177, 0.0757, 2.0447
178, 0.3272, 1.1845
179, 0.7276, 9.1801
180, 0.1131, 2.2148
181, -0.3935, 6.2827
182, 0.5186, 9.4964
183, 0.1283, 0.9025
184, -0.1432, 6.2043
185, -0.6240, 3.7667
186, 0.1047, 0.7638
187, -0.0007, 1.7689
188, 0.1196, 1.1361
189, 0.4791, 4.0163
190, 0.1483, 0.7060
191, 0.1384, 0.3577
192, 0.0950, 1.1265
193, 0.0981, 1.6806
194, 0.1879, 1.2887
195, 0.0727, 1.1212
196, 0.3010, 6.1843
197, 0.1657, 2.1099
198, 0.1136, 0.8232
199, -0.0583, 0.9803
200, 0.0151, 0.6710
201, 0.2477, 1.7127
202, 0.1333, 1.0310
203, 0.0281, 1.2327
204, -0.5798, 4.9690
205, 0.1768, 9.2297
206, 0.1696, 1.4851
207, 0.1239, 0.7534
208, 0.1744, 2.0584
209, 0.2292, 1.3283
210, -0.0455, 4.4213
211, -0.0407, 7.2148
212, -0.7490, 11.2759
213, -0.3422, 6.2172
214, 0.1047, 0.8327
215, 0.0988, 1.0148
216, 0.0347, 0.8772
217, -0.0781, 11.6842
218, -0.2691, 7.8424
219, -0.0030, 1.4787
220, -0.0359, 1.9104
221, 0.3580, 9.7985
222, -0.0847, 1.8748
223, 0.2773, 1.5363
224, 0.2413, 1.1469
225, 0.1259, 0.9667
226, -0.0898, 1.6233
227, 0.1226, 3.0737
228, 0.0440, 1.1006
229, 0.1437, 2.1478
230, 0.0855, 0.6929
231, 0.2199, 4.6299
232, 0.0068, 8.6089
233, -0.4386, 5.6552
234, 0.1533, 0.6736
235, 0.1851, 1.0283
236, 0.0003, 2.2984
237, -0.4853, 6.0484
238, -0.0542, 1.6147
239, -0.5472, 7.9180
240, 0.2068, 2.0718
241, 0.0090, 1.4143
242, 0.0460, 1.7220
243, 0.1835, 1.9529
244, 0.0922, 3.2629
245, -0.1802, 6.6653
246, -0.0779, 1.5003
247, 0.0997, 0.8395
248, 0.0081, 0.9750
249, 0.0298, 2.2825
250, 0.1911, 1.3786
251, -0.4133, 4.5181
252, -0.4499, 3.4819
253, 0.1729, 1.1680
254, 0.0863, 2.0540
255, -0.9111, 9.7182
256, 0.1447, 1.9920
257, 0.0209, 2.4869
258, 0.3381, 5.9973
259, 0.0370, 2.3684
260, 0.0050, 1.8348
261, -0.4400, 5.5541
262, 0.1454, 1.1825
263, 0.0668, 1.5959
264, 0.0795, 1.0157
265, 0.0265, 2.8720
266, -0.1444, 2.2147
267, 0.4036, 3.5246
268, 0.1026, 0.5527
269, 0.4531, 7.6222
270, -0.0186, 1.3054
271, 0.1056, 0.7775
272, 0.1427, 1.1452
273, 0.0980, 1.7021
274, 0.0402, 0.8727
275, 0.2251, 1.5274
276, 0.2924, 6.1361
277, 0.1403, 1.4968
278, 0.1483, 0.8756
279, 0.0927, 0.9622
280, 0.0167, 1.5841
281, -0.0106, 2.0595
282, -0.3952, 3.9643
283, 0.1807, 2.1126
284, 0.1064, 7.0243
285, -0.1465, 1.5210
286, 0.1571, 0.9248
287, -0.2795, 7.3394
288, 0.1252, 9.5960
289, -0.0054, 2.0214
290, -0.0405, 1.1635
291, 0.0575, 1.3953
292, 0.0078, 0.8288
293, 0.1809, 1.8600
294, -0.1800, 1.9207
295, 0.0169, 1.7465
296, 0.0326, 2.3467
297, 0.1205, 1.4569
298, -0.0335, 8.5582
299, -0.0147, 0.8605
300, -0.0093, 5.9117
301, 0.0830, 0.8912
302, 0.0744, 1.3678
303, 0.2988, 6.8376
304, -0.0654, 1.3989
305, -0.1735, 1.2114
306, 0.2105, 1.7712
307, -0.1179, 2.4740
308, 0.2589, 10.1466
309, -0.4491, 6.8044
310, -0.0921, 2.1629
311, 0.4361, 2.9380
312, 0.0469, 1.3772
313, -0.0474, 1.9535
314, 0.3300, 11.5089
315, -0.0526, 0.9519
316, -0.1895, 5.4422
317, 0.0030, 2.0955
318, 0.2120, 2.0838
319, 0.1164, 1.3858
320, 0.1068, 1.1978
321, 0.0896, 5.7939
322, 0.1022, 0.8428
323, 0.1897, 2.7271
324, 0.0027, 1.5200
325, -0.2850, 8.4078
326, 0.1523, 0.7890
327, -0.4965, 6.5352
328, -0.0355, 1.2706
329, 0.1808, 2.5220
330, 0.1708, 1.3923
