Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.4854, 45.08, 1.2759, 57.60 
1, 1.0761, 65.44, 0.8984, 70.50 
2, 0.7893, 74.53, 0.7083, 76.19 
3, 0.6257, 79.35, 0.5966, 79.91 
4, 0.5363, 82.10, 0.5581, 82.16 
5, 0.4648, 84.12, 0.4752, 83.91 
6, 0.4116, 85.69, 0.3834, 85.81 
7, 0.3660, 87.28, 0.3392, 87.34 
8, 0.3320, 88.36, 0.3188, 88.15 
9, 0.3034, 89.28, 0.3028, 88.54 
10, 0.2776, 90.17, 0.2973, 88.72 
11, 0.2584, 90.76, 0.2895, 88.96 
12, 0.2425, 91.26, 0.2831, 89.18 
13, 0.2307, 91.69, 0.2810, 89.38 
14, 0.2165, 91.93, 0.2805, 89.38 
15, 0.2056, 92.21, 0.2788, 89.51 
16, 0.1941, 92.69, 0.2765, 89.56 
17, 0.1907, 92.91, 0.2678, 89.76 
18, 0.1782, 93.30, 0.2684, 89.90 
19, 0.1793, 93.32, 0.2608, 90.16 
20, 0.1618, 93.93, 0.2629, 90.07 
21, 0.1578, 94.15, 0.2623, 90.07 
22, 0.1546, 94.28, 0.2600, 90.18 
23, 0.1526, 94.39, 0.2514, 90.46 
24, 0.1343, 95.09, 0.2602, 90.26 
25, 0.1266, 95.37, 0.2583, 90.43 
26, 0.1205, 95.66, 0.2636, 90.42 
27, 0.1146, 96.07, 0.2579, 90.47 
28, 0.1091, 96.28, 0.2588, 90.54 
29, 0.1174, 96.10, 0.2589, 90.80 
30, 0.0998, 96.67, 0.2644, 90.57 
31, 0.0961, 96.70, 0.2618, 90.76 
32, 0.1128, 96.44, 0.2658, 90.56 
33, 0.1229, 96.39, 0.2573, 90.52 
34, 0.0846, 97.14, 0.2657, 90.75 
35, 0.0734, 97.84, 0.2678, 90.83 
36, 0.1528, 96.03, 0.2719, 90.72 
37, 0.1273, 96.56, 0.2580, 90.99 
38, 0.0677, 98.04, 0.2750, 90.74 
39, 0.0608, 98.42, 0.2724, 90.75 
40, 0.0552, 98.68, 0.2723, 90.76 
41, 0.0515, 98.85, 0.2827, 90.70 
42, 0.1127, 97.48, 0.2757, 90.79 
43, 0.0474, 98.96, 0.2814, 90.73 
44, 0.0407, 99.25, 0.2826, 90.87 
45, 0.0376, 99.40, 0.2854, 91.09 
46, 0.0348, 99.45, 0.2912, 90.99 
47, 0.0846, 98.54, 0.2797, 91.00 
48, 0.0325, 99.56, 0.2938, 91.00 
49, 0.0279, 99.74, 0.2989, 91.00 
