Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.7730, 26.82, 1.7148, 40.95 
1, 1.6891, 40.23, 1.6602, 41.27 
2, 1.6414, 40.23, 1.6318, 41.27 
3, 1.6166, 40.23, 1.6183, 41.27 
4, 1.6041, 40.23, 1.6123, 41.27 
5, 1.5976, 40.23, 1.6093, 41.27 
6, 1.5935, 40.23, 1.6078, 41.26 
7, 1.5907, 40.23, 1.6067, 41.24 
8, 1.5883, 40.23, 1.6059, 41.17 
9, 1.5861, 40.23, 1.6050, 41.14 
10, 1.5839, 40.61, 1.6044, 41.14 
11, 1.5819, 40.61, 1.6037, 41.10 
12, 1.5799, 40.23, 1.6028, 41.10 
13, 1.5778, 40.23, 1.6022, 41.07 
14, 1.5758, 40.23, 1.6016, 41.02 
15, 1.5738, 40.23, 1.6009, 40.98 
16, 1.5718, 40.23, 1.6004, 40.92 
17, 1.5698, 40.23, 1.5999, 40.90 
18, 1.5678, 40.23, 1.5996, 40.85 
19, 1.5660, 40.23, 1.5990, 40.82 
20, 1.5640, 40.23, 1.5987, 40.81 
21, 1.5621, 40.23, 1.5981, 40.81 
22, 1.5600, 40.23, 1.5980, 40.85 
23, 1.5582, 40.23, 1.5977, 40.83 
24, 1.5563, 40.23, 1.5973, 40.83 
25, 1.5543, 40.23, 1.5972, 40.77 
26, 1.5524, 40.23, 1.5971, 40.79 
27, 1.5505, 40.23, 1.5968, 40.81 
28, 1.5485, 40.23, 1.5967, 40.77 
29, 1.5466, 40.23, 1.5965, 40.77 
30, 1.5447, 40.23, 1.5964, 40.76 
31, 1.5428, 40.23, 1.5964, 40.78 
32, 1.5409, 40.23, 1.5962, 40.81 
33, 1.5389, 40.23, 1.5960, 40.78 
34, 1.5370, 40.61, 1.5959, 40.82 
35, 1.5350, 40.61, 1.5960, 40.81 
36, 1.5331, 40.61, 1.5959, 40.82 
37, 1.5311, 40.61, 1.5959, 40.86 
38, 1.5291, 40.61, 1.5959, 40.89 
39, 1.5272, 40.61, 1.5958, 40.91 
40, 1.5252, 41.00, 1.5959, 40.98 
41, 1.5232, 41.00, 1.5958, 40.96 
42, 1.5211, 41.00, 1.5961, 40.95 
43, 1.5191, 41.00, 1.5960, 41.01 
44, 1.5171, 41.00, 1.5962, 41.08 
45, 1.5151, 41.00, 1.5961, 41.16 
46, 1.5130, 41.00, 1.5961, 41.15 
47, 1.5109, 41.00, 1.5961, 41.18 
48, 1.5088, 41.00, 1.5962, 41.24 
49, 1.5067, 41.00, 1.5962, 41.25 
50, 1.5045, 41.00, 1.5961, 41.28 
51, 1.5024, 41.00, 1.5960, 41.34 
52, 1.5001, 41.38, 1.5961, 41.36 
53, 1.4980, 41.38, 1.5961, 41.41 
54, 1.4958, 41.76, 1.5959, 41.47 
55, 1.4935, 41.76, 1.5961, 41.50 
56, 1.4913, 42.53, 1.5955, 41.58 
57, 1.4889, 42.53, 1.5955, 41.63 
58, 1.4865, 42.91, 1.5956, 41.64 
59, 1.4842, 42.91, 1.5953, 41.68 
60, 1.4818, 42.91, 1.5950, 41.74 
61, 1.4792, 44.06, 1.5951, 41.71 
62, 1.4770, 44.44, 1.5948, 41.72 
63, 1.4744, 44.44, 1.5945, 41.77 
64, 1.4719, 44.83, 1.5942, 41.82 
65, 1.4693, 44.83, 1.5937, 41.87 
66, 1.4667, 44.83, 1.5936, 41.86 
67, 1.4641, 44.83, 1.5932, 41.96 
68, 1.4614, 44.83, 1.5927, 42.01 
69, 1.4588, 44.83, 1.5924, 41.98 
70, 1.4561, 44.83, 1.5922, 42.01 
71, 1.4534, 44.83, 1.5918, 42.02 
72, 1.4507, 45.21, 1.5912, 42.04 
