Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.6323, 36.94, 1.6025, 41.27 
1, 1.5848, 40.67, 1.5911, 41.27 
2, 1.5649, 40.67, 1.5818, 41.27 
3, 1.5462, 40.67, 1.5725, 41.27 
4, 1.5255, 40.67, 1.5619, 41.27 
5, 1.5014, 41.06, 1.5496, 41.61 
6, 1.4746, 41.06, 1.5357, 45.14 
7, 1.4425, 43.81, 1.5172, 49.38 
8, 1.4049, 46.17, 1.4901, 51.48 
9, 1.3493, 47.74, 1.4560, 52.95 
10, 1.3230, 52.65, 1.6409, 41.34 
11, 1.3202, 50.69, 1.4400, 45.84 
12, 1.2286, 57.56, 1.4478, 43.46 
13, 1.1789, 57.76, 1.4009, 47.95 
14, 1.1247, 64.44, 1.3500, 56.18 
15, 1.1304, 62.08, 1.3271, 54.22 
16, 1.0931, 61.89, 1.4454, 45.45 
17, 1.1048, 57.96, 1.2855, 54.96 
18, 0.9485, 68.76, 1.3236, 53.50 
19, 0.9959, 65.23, 1.2418, 57.32 
20, 0.9663, 63.85, 1.3848, 51.57 
21, 0.9017, 68.96, 1.2283, 57.26 
22, 0.8187, 72.30, 1.1409, 63.12 
23, 0.8465, 71.32, 1.1084, 65.29 
24, 0.7875, 72.89, 1.4934, 51.89 
25, 0.8795, 69.35, 1.2344, 59.15 
26, 0.7429, 72.30, 1.3264, 63.70 
27, 0.6922, 75.05, 1.0931, 67.25 
28, 0.7865, 70.33, 1.2826, 57.48 
29, 0.6333, 77.01, 1.1584, 63.35 
30, 0.5691, 80.35, 1.0602, 68.43 
31, 0.7928, 71.12, 1.3757, 53.64 
32, 0.6853, 74.26, 1.1011, 63.00 
33, 0.5025, 83.69, 1.0672, 68.03 
34, 0.5926, 77.80, 1.0329, 68.61 
35, 0.5156, 82.32, 0.9950, 69.48 
36, 0.5220, 80.35, 1.5063, 55.40 
37, 0.6434, 77.01, 1.1548, 66.16 
38, 0.5085, 79.76, 1.0868, 68.23 
39, 0.4918, 82.32, 1.1239, 65.70 
40, 0.5100, 83.30, 1.1784, 66.24 
41, 0.4428, 83.89, 1.0372, 70.24 
42, 0.3218, 89.00, 1.0575, 70.46 
43, 0.3438, 89.00, 1.2245, 65.62 
44, 0.6340, 75.83, 1.2344, 64.17 
45, 0.3857, 87.23, 1.1800, 69.39 
46, 0.3581, 86.44, 1.1010, 69.21 
47, 0.3828, 85.27, 1.1430, 69.01 
48, 0.3228, 89.39, 1.0996, 69.63 
49, 0.2597, 93.32, 1.2741, 69.14 
50, 0.6640, 76.62, 1.1551, 66.60 
51, 0.3239, 88.21, 1.1724, 69.34 
52, 0.3226, 89.98, 1.0731, 70.90 
53, 0.2817, 90.57, 1.1347, 70.73 
54, 0.2684, 90.96, 1.2742, 69.50 
55, 0.3493, 87.03, 1.1229, 70.72 
56, 0.2809, 90.77, 1.1414, 71.33 
57, 0.1689, 96.66, 1.1461, 71.21 
58, 0.1583, 97.05, 1.2012, 69.61 
59, 0.5408, 80.55, 1.1615, 68.61 
60, 0.2980, 89.78, 1.3160, 69.18 
61, 0.2545, 90.57, 1.1960, 71.89 
62, 0.2194, 93.32, 1.2269, 69.39 
63, 0.2531, 90.96, 1.1845, 69.65 
64, 0.1705, 95.28, 1.3063, 72.03 
65, 0.2445, 92.34, 1.2409, 71.65 
66, 0.1387, 97.45, 1.2514, 71.50 
67, 0.1087, 98.23, 1.3319, 71.94 
68, 0.1840, 94.50, 1.3354, 71.05 
69, 0.3807, 88.41, 1.3760, 64.26 
70, 0.2438, 91.75, 1.3256, 68.92 
71, 0.1436, 96.07, 1.3561, 70.60 
72, 0.4418, 87.23, 1.2246, 70.96 
73, 0.1557, 95.87, 1.3205, 70.75 
74, 0.1077, 98.23, 1.3094, 71.51 
75, 0.0841, 99.41, 1.3379, 71.89 
76, 0.0794, 99.21, 1.3538, 71.86 
77, 0.0695, 99.02, 1.3940, 72.00 
78, 0.1116, 97.05, 1.4255, 72.03 
79, 0.2110, 93.32, 1.5915, 70.58 
80, 0.1961, 93.71, 1.3971, 71.45 
81, 0.1908, 93.71, 1.4078, 69.94 
82, 0.5158, 84.28, 1.4224, 68.51 
83, 0.2122, 93.12, 1.2899, 70.36 
84, 0.1062, 97.64, 1.4142, 71.11 
85, 0.0690, 99.02, 1.3968, 71.64 
86, 0.0531, 99.80, 1.3982, 71.65 
87, 0.0475, 99.41, 1.4169, 71.92 
88, 0.0433, 100.00, 1.4276, 71.80 
89, 0.0389, 100.00, 1.4480, 72.00 
90, 0.0361, 100.00, 1.4519, 71.98 
91, 0.0342, 100.00, 1.4615, 71.92 
92, 0.0314, 100.00, 1.4751, 72.01 
93, 0.0296, 100.00, 1.4827, 72.03 
94, 0.0281, 100.00, 1.4928, 72.03 
95, 0.0270, 100.00, 1.5012, 71.96 
96, 0.0255, 100.00, 1.5111, 72.12 
97, 0.0245, 100.00, 1.5194, 72.05 
98, 0.0233, 100.00, 1.5274, 72.05 
99, 0.0223, 100.00, 1.5353, 72.00 
