Epoch, Average Return Train, Num Shortest Train, Num Solved Train, Average Return Test, Num Shortest Test, Num Solved Test
0, 1.1946, 3491, 4090, 1.0864, 340, 384
200, 1.5333, 4110, 5083, 1.4878, 404, 497
400, 2.0991, 4846, 6072, 2.0123, 479, 592
600, 3.8462, 8660, 10383, 3.7799, 847, 1020
800, 4.7747, 10841, 12807, 4.6776, 1057, 1256
1000, 5.7127, 12445, 14791, 5.7377, 1239, 1481
1200, 5.3487, 11712, 13899, 5.3079, 1154, 1377
1400, 6.1033, 13556, 15730, 6.0261, 1312, 1553
1600, 5.2473, 11309, 13964, 5.1410, 1117, 1371
1800, 6.2681, 14046, 16251, 6.3130, 1405, 1627
2000, 6.2112, 13535, 15957, 6.1994, 1346, 1586
