Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.7082, 32.95, 1.6551, 40.98 
1, 1.6143, 40.23, 1.6399, 39.31 
2, 1.6018, 39.85, 1.6334, 38.97 
3, 1.5948, 39.85, 1.6284, 38.93 
4, 1.5887, 39.85, 1.6245, 38.85 
5, 1.5831, 39.46, 1.6201, 38.99 
6, 1.5773, 39.85, 1.6169, 39.08 
7, 1.5714, 39.85, 1.6144, 39.26 
8, 1.5657, 39.85, 1.6135, 39.08 
9, 1.5604, 39.85, 1.6121, 39.31 
10, 1.5548, 40.23, 1.6106, 39.46 
11, 1.5489, 40.61, 1.6105, 39.64 
12, 1.5434, 41.00, 1.6106, 39.66 
13, 1.5378, 41.00, 1.6094, 39.96 
14, 1.5317, 41.00, 1.6101, 40.04 
15, 1.5257, 41.00, 1.6083, 40.37 
16, 1.5194, 41.38, 1.6094, 40.51 
17, 1.5130, 41.38, 1.6096, 40.56 
18, 1.5065, 41.76, 1.6090, 40.66 
19, 1.4996, 42.15, 1.6071, 40.99 
20, 1.4919, 41.76, 1.6049, 41.31 
21, 1.4843, 42.15, 1.6060, 41.25 
22, 1.4769, 42.91, 1.6032, 41.48 
23, 1.4686, 44.06, 1.6009, 41.77 
24, 1.4602, 44.06, 1.6015, 41.67 
25, 1.4517, 44.83, 1.5971, 42.02 
26, 1.4423, 45.21, 1.5973, 41.89 
27, 1.4334, 45.98, 1.5929, 42.06 
28, 1.4236, 45.98, 1.5912, 42.11 
29, 1.4139, 45.98, 1.5914, 42.07 
30, 1.4041, 46.36, 1.5842, 42.52 
31, 1.3929, 45.98, 1.5842, 42.32 
32, 1.3828, 46.74, 1.5807, 42.42 
33, 1.3719, 46.74, 1.5765, 42.57 
34, 1.3607, 47.89, 1.5762, 42.70 
35, 1.3496, 48.28, 1.5703, 42.95 
36, 1.3377, 49.43, 1.5727, 42.86 
37, 1.3266, 49.04, 1.5582, 43.59 
38, 1.3136, 49.81, 1.5733, 42.82 
39, 1.3026, 50.57, 1.5498, 44.22 
40, 1.2896, 50.19, 1.5775, 42.59 
41, 1.2812, 51.34, 1.5434, 45.03 
42, 1.2664, 51.72, 1.6116, 39.76 
43, 1.2756, 50.96, 1.5479, 45.41 
44, 1.2462, 52.87, 1.6839, 34.36 
45, 1.2923, 46.74, 1.5603, 45.25 
46, 1.2296, 53.26, 1.7989, 29.42 
47, 1.2909, 45.21, 1.5664, 45.27 
48, 1.2121, 55.56, 1.7413, 33.01 
