Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
49, 1.2132, 51.72, 1.5491, 46.78 
50, 1.1887, 57.85, 1.6679, 37.58 
51, 1.1682, 58.62, 1.5246, 48.54 
52, 1.1659, 58.62, 1.6122, 41.96 
53, 1.1841, 55.56, 1.5063, 49.22 
54, 1.1207, 60.92, 1.7084, 40.96 
55, 1.1781, 53.64, 1.5768, 45.36 
56, 1.1700, 54.02, 1.9622, 34.06 
57, 1.1812, 55.56, 1.7485, 35.90 
58, 1.1977, 51.34, 2.2288, 29.56 
59, 1.2422, 52.11, 1.6480, 40.93 
60, 1.1448, 58.24, 1.8367, 36.74 
61, 1.1485, 57.09, 1.5048, 48.07 
62, 1.0574, 62.45, 1.6134, 43.60 
63, 1.1011, 55.94, 1.4492, 51.46 
64, 1.0075, 67.82, 1.5177, 47.92 
65, 1.0187, 64.37, 1.4307, 52.58 
66, 0.9717, 68.58, 1.4759, 50.71 
67, 0.9636, 68.58, 1.4230, 52.90 
68, 0.9435, 68.58, 1.4545, 52.12 
69, 0.9222, 71.26, 1.4180, 52.72 
70, 0.9196, 69.73, 1.4477, 52.21 
71, 0.9067, 69.73, 1.4406, 50.95 
72, 0.9278, 67.43, 1.4599, 49.94 
73, 0.8917, 69.73, 1.4224, 52.31 
74, 0.8751, 73.18, 1.4185, 53.39 
75, 0.9394, 63.98, 1.4597, 51.59 
76, 1.0011, 58.24, 1.4358, 52.82 
77, 0.8439, 72.80, 1.4048, 55.14 
78, 0.8113, 74.33, 1.4017, 54.39 
79, 0.8367, 71.26, 1.4487, 50.52 
80, 0.8913, 65.90, 1.4500, 50.03 
81, 0.8027, 73.56, 1.3815, 55.38 
82, 0.8139, 71.65, 1.3895, 55.60 
83, 0.8295, 68.20, 1.4255, 54.67 
84, 0.8057, 69.35, 1.4068, 55.46 
85, 0.7364, 75.86, 1.3909, 56.07 
86, 0.7246, 76.63, 1.4099, 53.77 
87, 0.8099, 68.97, 1.4741, 49.54 
88, 0.7846, 69.73, 1.3888, 54.42 
89, 0.6993, 78.54, 1.3784, 56.61 
90, 0.7687, 71.65, 1.4035, 56.14 
91, 0.7136, 75.10, 1.4016, 56.62 
92, 0.6608, 78.54, 1.3874, 56.75 
93, 0.6447, 79.31, 1.3941, 55.48 
94, 0.6807, 75.10, 1.4437, 51.67 
95, 0.7174, 71.65, 1.4183, 52.93 
96, 0.6272, 80.46, 1.3738, 57.50 
97, 0.7088, 73.95, 1.4027, 56.72 
98, 0.6555, 77.39, 1.4061, 57.26 
99, 0.5974, 80.84, 1.3926, 57.24 
100, 0.5786, 81.99, 1.3990, 55.89 
101, 0.6104, 77.78, 1.4338, 53.20 
102, 0.6278, 75.48, 1.4103, 54.78 
103, 0.5591, 84.67, 1.3873, 57.99 
104, 0.6550, 74.33, 1.4212, 57.10 
105, 0.5889, 80.84, 1.4119, 57.80 
106, 0.5290, 82.76, 1.4023, 56.96 
107, 0.5355, 83.14, 1.4214, 55.11 
108, 0.5705, 79.31, 1.4349, 53.96 
109, 0.5248, 83.52, 1.3883, 57.88 
110, 0.5420, 81.99, 1.4279, 57.90 
111, 0.5827, 78.16, 1.4384, 57.68 
112, 0.4965, 84.67, 1.4161, 57.75 
113, 0.4943, 84.67, 1.4379, 55.14 
114, 0.5426, 81.61, 1.4495, 53.92 
115, 0.4839, 86.59, 1.4026, 58.31 
116, 0.4971, 82.76, 1.4441, 58.38 
117, 0.5119, 83.52, 1.4446, 58.35 
118, 0.4451, 87.74, 1.4309, 57.69 
119, 0.4520, 85.44, 1.4419, 55.70 
120, 0.4702, 85.06, 1.4296, 56.28 
121, 0.4243, 88.12, 1.4306, 58.71 
122, 0.4633, 82.76, 1.4715, 58.51 
123, 0.4486, 88.12, 1.4599, 58.68 
124, 0.4042, 88.51, 1.4538, 56.93 
125, 0.4474, 86.21, 1.4760, 54.41 
126, 0.4463, 86.97, 1.4346, 57.46 
127, 0.4038, 88.51, 1.4708, 59.15 
128, 0.4570, 82.76, 1.4962, 58.61 
129, 0.3917, 90.42, 1.4744, 58.45 
130, 0.3820, 90.80, 1.4720, 56.20 
131, 0.4046, 87.74, 1.4570, 56.78 
132, 0.3623, 91.19, 1.4666, 58.72 
133, 0.3816, 89.27, 1.5068, 59.15 
134, 0.3788, 91.19, 1.5044, 58.91 
135, 0.3407, 91.57, 1.4914, 57.24 
136, 0.3737, 89.66, 1.4885, 55.82 
137, 0.3634, 89.66, 1.4693, 58.15 
138, 0.3440, 90.42, 1.5194, 59.39 
139, 0.3855, 88.89, 1.5409, 59.10 
140, 0.3270, 93.49, 1.5212, 58.23 
141, 0.3371, 90.42, 1.5125, 56.00 
142, 0.3669, 89.27, 1.4878, 57.37 
143, 0.3125, 94.64, 1.5215, 59.30 
144, 0.3513, 90.42, 1.5618, 59.34 
145, 0.3143, 92.72, 1.5475, 58.78 
146, 0.2991, 92.72, 1.5319, 56.80 
147, 0.3229, 90.42, 1.5120, 57.31 
148, 0.2853, 94.64, 1.5305, 59.00 
149, 0.3029, 93.10, 1.5777, 59.56 
150, 0.3021, 93.49, 1.5760, 59.10 
151, 0.2664, 94.64, 1.5585, 57.26 
152, 0.3081, 91.19, 1.5451, 56.51 
153, 0.2848, 92.72, 1.5365, 58.61 
154, 0.2833, 93.10, 1.6005, 59.71 
155, 0.3138, 92.34, 1.6096, 59.47 
156, 0.2521, 95.40, 1.5893, 57.69 
157, 0.2897, 90.80, 1.5739, 56.36 
158, 0.2789, 91.95, 1.5552, 58.36 
159, 0.2599, 95.02, 1.6137, 59.63 
160, 0.2868, 92.72, 1.6291, 59.47 
161, 0.2344, 96.17, 1.6147, 57.99 
162, 0.2568, 93.49, 1.5932, 57.16 
163, 0.2444, 95.02, 1.5837, 58.48 
164, 0.2300, 96.55, 1.6317, 59.66 
165, 0.2554, 94.64, 1.6510, 59.58 
166, 0.2171, 95.79, 1.6402, 58.33 
167, 0.2392, 95.02, 1.6212, 57.10 
168, 0.2354, 95.79, 1.6106, 58.48 
169, 0.2122, 97.32, 1.6557, 59.61 
170, 0.2472, 94.25, 1.6822, 59.69 
171, 0.2101, 95.79, 1.6693, 58.51 
172, 0.2250, 95.02, 1.6523, 57.26 
173, 0.2286, 95.02, 1.6344, 58.41 
174, 0.1962, 97.32, 1.6744, 59.50 
175, 0.2211, 96.17, 1.7032, 59.50 
176, 0.1964, 96.17, 1.6952, 58.75 
177, 0.1992, 96.93, 1.6827, 57.68 
178, 0.2090, 96.55, 1.6664, 58.21 
179, 0.1789, 97.70, 1.6935, 59.33 
180, 0.2048, 95.79, 1.7298, 59.58 
181, 0.1934, 96.55, 1.7243, 58.94 
182, 0.1807, 97.32, 1.7225, 57.63 
183, 0.2187, 94.64, 1.6926, 57.91 
184, 0.1710, 98.08, 1.7036, 59.00 
185, 0.1945, 96.55, 1.7585, 59.72 
186, 0.2005, 95.40, 1.7616, 59.39 
187, 0.1659, 97.70, 1.7553, 57.64 
188, 0.2236, 95.02, 1.7140, 57.45 
189, 0.1707, 97.70, 1.7153, 59.02 
190, 0.1815, 96.17, 1.7812, 59.81 
191, 0.1909, 96.55, 1.7899, 59.34 
192, 0.1556, 98.08, 1.7773, 57.79 
193, 0.1941, 95.79, 1.7371, 58.04 
194, 0.1519, 98.85, 1.7454, 59.05 
195, 0.1650, 97.32, 1.7926, 59.58 
196, 0.1597, 96.55, 1.8017, 59.09 
197, 0.1492, 98.47, 1.8036, 58.08 
198, 0.1673, 98.08, 1.7754, 58.40 
199, 0.1360, 98.85, 1.7818, 59.05 
