Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.7017, 38.70, 1.6262, 41.27 
1, 1.6065, 40.67, 1.5910, 41.27 
2, 1.5850, 40.67, 1.5842, 41.27 
3, 1.5779, 40.67, 1.5821, 41.27 
4, 1.5737, 40.67, 1.5812, 41.27 
5, 1.5704, 40.67, 1.5805, 41.27 
6, 1.5675, 40.67, 1.5799, 41.27 
7, 1.5649, 40.67, 1.5793, 41.27 
8, 1.5623, 40.67, 1.5786, 41.27 
9, 1.5598, 40.67, 1.5778, 41.27 
10, 1.5573, 40.67, 1.5770, 41.27 
11, 1.5547, 40.67, 1.5761, 41.27 
12, 1.5522, 40.67, 1.5752, 41.27 
13, 1.5496, 40.67, 1.5743, 41.27 
14, 1.5470, 40.67, 1.5733, 41.27 
15, 1.5444, 40.67, 1.5722, 41.27 
16, 1.5417, 40.67, 1.5712, 41.27 
17, 1.5390, 40.67, 1.5701, 41.27 
18, 1.5362, 40.67, 1.5689, 41.27 
19, 1.5333, 40.67, 1.5677, 41.27 
20, 1.5303, 40.67, 1.5665, 41.27 
21, 1.5273, 40.67, 1.5652, 41.27 
22, 1.5242, 40.67, 1.5639, 41.27 
23, 1.5210, 40.67, 1.5625, 41.27 
24, 1.5177, 40.67, 1.5610, 41.27 
25, 1.5143, 40.67, 1.5596, 41.27 
26, 1.5108, 40.67, 1.5580, 41.27 
27, 1.5071, 40.67, 1.5564, 41.27 
28, 1.5034, 40.67, 1.5547, 41.27 
29, 1.4995, 40.67, 1.5529, 41.27 
30, 1.4955, 40.67, 1.5510, 41.27 
31, 1.4913, 40.67, 1.5490, 41.27 
32, 1.4870, 40.67, 1.5470, 41.28 
33, 1.4826, 40.67, 1.5449, 41.29 
34, 1.4779, 40.67, 1.5426, 41.30 
35, 1.4731, 40.67, 1.5402, 41.35 
36, 1.4681, 40.67, 1.5378, 41.42 
37, 1.4630, 40.67, 1.5352, 41.54 
38, 1.4576, 40.67, 1.5325, 41.70 
39, 1.4521, 41.26, 1.5296, 41.85 
40, 1.4464, 41.45, 1.5266, 42.09 
41, 1.4405, 41.65, 1.5235, 42.22 
42, 1.4343, 41.65, 1.5203, 42.51 
43, 1.4280, 41.85, 1.5168, 42.74 
44, 1.4214, 42.04, 1.5132, 42.99 
45, 1.4147, 42.04, 1.5095, 43.40 
46, 1.4077, 43.22, 1.5055, 43.75 
47, 1.4005, 44.40, 1.5014, 44.11 
48, 1.3930, 45.19, 1.4971, 44.54 
49, 1.3853, 46.37, 1.4926, 45.02 
50, 1.3774, 47.15, 1.4880, 45.34 
51, 1.3693, 47.54, 1.4832, 45.83 
52, 1.3609, 47.94, 1.4782, 46.22 
53, 1.3523, 49.12, 1.4730, 46.68 
54, 1.3434, 49.51, 1.4677, 47.09 
55, 1.3344, 50.49, 1.4622, 47.46 
56, 1.3251, 51.28, 1.4566, 47.91 
57, 1.3156, 51.87, 1.4508, 48.45 
58, 1.3059, 52.26, 1.4449, 49.06 
59, 1.2961, 53.83, 1.4387, 49.60 
60, 1.2861, 54.03, 1.4325, 50.07 
61, 1.2759, 54.42, 1.4261, 50.66 
62, 1.2655, 54.81, 1.4196, 51.19 
63, 1.2551, 55.21, 1.4130, 51.81 
64, 1.2444, 55.80, 1.4063, 52.30 
65, 1.2336, 57.17, 1.3994, 52.86 
66, 1.2229, 58.15, 1.3925, 53.33 
67, 1.2118, 59.53, 1.3856, 53.93 
68, 1.2006, 61.10, 1.3786, 54.44 
69, 1.1895, 61.49, 1.3715, 55.18 
70, 1.1782, 62.08, 1.3644, 55.72 
71, 1.1669, 62.48, 1.3573, 56.13 
72, 1.1555, 62.48, 1.3502, 56.45 
73, 1.1438, 62.87, 1.3432, 56.90 
74, 1.1325, 63.85, 1.3360, 57.41 
75, 1.1209, 64.24, 1.3292, 57.70 
76, 1.1098, 64.64, 1.3222, 58.05 
77, 1.0982, 64.83, 1.3155, 58.36 
78, 1.0867, 65.42, 1.3088, 58.61 
79, 1.0754, 66.40, 1.3020, 58.90 
80, 1.0644, 66.99, 1.2953, 59.19 
81, 1.0527, 67.78, 1.2889, 59.47 
82, 1.0416, 68.37, 1.2823, 59.84 
83, 1.0302, 68.57, 1.2764, 60.03 
84, 1.0197, 68.96, 1.2700, 60.30 
85, 1.0074, 69.94, 1.2638, 60.50 
86, 0.9972, 69.74, 1.2581, 60.77 
87, 0.9862, 70.33, 1.2523, 60.88 
88, 0.9768, 70.53, 1.2464, 61.09 
89, 0.9642, 71.32, 1.2405, 61.21 
90, 0.9530, 71.91, 1.2353, 61.37 
91, 0.9442, 71.32, 1.2304, 61.61 
92, 0.9330, 72.30, 1.2249, 61.70 
93, 0.9217, 72.50, 1.2196, 61.81 
94, 0.9113, 72.30, 1.2150, 61.92 
95, 0.9034, 72.69, 1.2110, 62.23 
96, 0.8937, 72.89, 1.2059, 62.33 
97, 0.8820, 73.67, 1.2011, 62.29 
98, 0.8696, 74.07, 1.1967, 62.02 
99, 0.8589, 74.26, 1.1927, 61.94 
