Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 1.2927, 55.05, 1.0135, 65.57 
1, 0.6702, 78.27, 0.5030, 81.44 
2, 0.4134, 85.68, 0.3447, 87.58 
3, 0.3206, 88.58, 0.2849, 89.29 
4, 0.2762, 89.84, 0.2592, 90.08 
5, 0.2497, 90.58, 0.2412, 90.62 
6, 0.2306, 91.14, 0.2273, 90.88 
7, 0.2152, 91.57, 0.2156, 91.24 
8, 0.2023, 91.97, 0.2056, 91.53 
9, 0.1914, 92.30, 0.1967, 91.86 
10, 0.1819, 92.64, 0.1894, 92.01 
11, 0.1736, 92.91, 0.1829, 92.33 
12, 0.1661, 93.20, 0.1783, 92.52 
13, 0.1595, 93.46, 0.1736, 92.73 
14, 0.1534, 93.73, 0.1689, 92.91 
15, 0.1479, 93.94, 0.1652, 93.12 
16, 0.1427, 94.19, 0.1621, 93.29 
17, 0.1379, 94.40, 0.1596, 93.38 
18, 0.1335, 94.61, 0.1574, 93.46 
19, 0.1295, 94.77, 0.1559, 93.51 
