Epoch, Training Loss, Training Accuracy, Test Loss, Test Accuracy
0, 0.6627, 77.19, 0.3165, 87.18 
1, 0.2978, 88.69, 0.2180, 90.90 
2, 0.2262, 91.05, 0.1911, 91.95 
3, 0.1909, 92.35, 0.1759, 92.54 
4, 0.1605, 93.38, 0.1590, 93.17 
5, 0.1455, 94.09, 0.1584, 93.26 
6, 0.1217, 94.86, 0.1435, 93.79 
7, 0.1218, 95.03, 0.1415, 93.93 
8, 0.1048, 95.45, 0.1278, 94.51 
9, 0.1027, 95.68, 0.1344, 94.13 
10, 0.1029, 95.68, 0.1412, 93.92 
11, 0.1021, 95.79, 0.1337, 94.15 
12, 0.0820, 96.32, 0.1196, 94.96 
13, 0.0748, 96.65, 0.1209, 94.87 
14, 0.0806, 96.49, 0.1204, 94.76 
15, 0.0670, 97.01, 0.1192, 94.98 
16, 0.0711, 96.97, 0.1224, 94.91 
17, 0.0627, 97.22, 0.1254, 94.63 
18, 0.0686, 97.08, 0.1264, 94.77 
19, 0.0811, 96.83, 0.1376, 94.66 
